Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0.5030863;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5030863;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5030863;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5030863;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5030863;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5030863;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.004795;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.004795;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.004795;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.004795;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.004795;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.004795;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.505345;Right Hand Presence Physics;(-0.31, 1.31, 0.08);(0.00, 266.80, 0.00)
1.505345;Left Hand Presence Physics;(-0.29, 1.31, -0.12);(0.00, 266.80, 0.00)
1.505345;Right Hand Presence Physics;(-0.31, 1.31, 0.08);(0.00, 266.80, 0.00)
1.505345;Left Hand Presence Physics;(-0.29, 1.31, -0.12);(0.00, 266.80, 0.00)
1.505345;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.505345;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.005709;Right Hand Presence Physics;(-0.15, 1.31, 0.28);(0.00, 312.60, 0.00)
2.005709;Left Hand Presence Physics;(-0.29, 1.31, 0.13);(0.00, 312.60, 0.00)
2.005709;Right Hand Presence Physics;(-0.15, 1.31, 0.28);(0.00, 312.60, 0.00)
2.005709;Left Hand Presence Physics;(-0.29, 1.31, 0.13);(0.00, 312.60, 0.00)
2.005709;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.005709;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.517237;Right Hand Presence Physics;(0.02, 1.31, 0.38);(0.00, 348.00, 0.00)
2.517237;Left Hand Presence Physics;(-0.17, 1.31, 0.34);(0.00, 348.00, 0.00)
2.517237;Right Hand Presence Physics;(0.02, 1.31, 0.38);(0.00, 348.00, 0.00)
2.517237;Left Hand Presence Physics;(-0.17, 1.31, 0.34);(0.00, 348.00, 0.00)
2.517237;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.517237;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.023391;Right Hand Presence Physics;(0.34, 1.31, 0.87);(0.00, 0.00, 0.00)
3.023391;Left Hand Presence Physics;(0.14, 1.31, 0.87);(0.00, 0.00, 0.00)
3.023391;Right Hand Presence Physics;(0.34, 1.31, 0.87);(0.00, 0.00, 0.00)
3.023391;Left Hand Presence Physics;(0.14, 1.31, 0.87);(0.00, 0.00, 0.00)
