Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
4,647612;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,647612;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
5,149193;Right Hand Presence Physics;(0.18, 1.19, 0.39);(329.99, 359.90, 346.55)
5,149193;Left Hand Presence Physics;(-0.15, 1.19, 0.37);(336.34, 3.49, 16.34)
5,149193;Right Hand Presence Physics;(0.18, 1.19, 0.39);(329.99, 359.90, 346.55)
5,149193;Left Hand Presence Physics;(-0.15, 1.19, 0.37);(336.34, 3.49, 16.34)
5,149193;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,149193;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,149193;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
5,650732;Right Hand Presence Physics;(0.06, 1.16, 0.86);(337.48, 350.45, 349.49)
5,650732;Left Hand Presence Physics;(-0.23, 1.15, 0.82);(330.05, 359.53, 13.00)
5,650732;Right Hand Presence Physics;(0.06, 1.16, 0.86);(337.48, 350.45, 349.49)
5,650732;Left Hand Presence Physics;(-0.23, 1.15, 0.82);(330.05, 359.53, 13.00)
5,650732;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,650732;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,650732;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
6,152188;Right Hand Presence Physics;(-0.05, 1.16, 2.07);(335.66, 354.55, 347.07)
6,152188;Left Hand Presence Physics;(-0.34, 1.14, 2.04);(328.46, 1.56, 6.47)
6,152188;Right Hand Presence Physics;(-0.05, 1.16, 2.07);(335.66, 354.55, 347.07)
6,152188;Left Hand Presence Physics;(-0.34, 1.14, 2.04);(328.46, 1.56, 6.47)
6,152188;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,152188;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,152188;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
6,653415;Right Hand Presence Physics;(0.46, 1.15, 3.20);(340.07, 345.01, 330.17)
6,653415;Left Hand Presence Physics;(0.17, 1.14, 3.16);(329.67, 359.31, 11.49)
6,653415;Right Hand Presence Physics;(0.46, 1.15, 3.20);(340.07, 345.01, 330.17)
6,653415;Left Hand Presence Physics;(0.17, 1.14, 3.16);(329.67, 359.31, 11.49)
6,653415;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,653415;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,653415;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
7,154874;Right Hand Presence Physics;(0.61, 1.15, 4.40);(337.59, 347.16, 349.12)
7,154874;Left Hand Presence Physics;(0.34, 1.14, 4.38);(330.54, 357.80, 13.85)
7,154874;Right Hand Presence Physics;(0.61, 1.15, 4.40);(337.59, 347.16, 349.12)
7,154874;Left Hand Presence Physics;(0.34, 1.14, 4.38);(330.54, 357.80, 13.85)
7,154874;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7,154874;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
7,154874;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
7,656343;Right Hand Presence Physics;(0.79, 1.16, 5.42);(348.42, 333.55, 312.34)
7,656343;Left Hand Presence Physics;(0.43, 1.15, 5.34);(345.01, 357.12, 28.40)
7,656343;Right Hand Presence Physics;(0.79, 1.16, 5.42);(348.42, 333.55, 312.34)
7,656343;Left Hand Presence Physics;(0.43, 1.15, 5.34);(345.01, 357.12, 28.40)
7,656343;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7,656343;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
7,656343;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
