Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5084873;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
0,5084873;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
0,5084873;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
0,5084873;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
0,5084873;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5084873;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,009789;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
1,009789;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
1,009789;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
1,009789;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
1,009789;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,009789;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,510898;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
1,510898;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
1,510898;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
1,510898;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
1,510898;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,510898;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,01234;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
2,01234;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
2,01234;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
2,01234;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
2,01234;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,01234;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,513146;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
2,513146;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
2,513146;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
2,513146;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
2,513146;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,513146;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,014655;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
3,014655;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
3,014655;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
3,014655;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
3,014655;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,014655;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,516062;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
3,516062;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
3,516062;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
