Timestamp;Name;Position;Rotation;Grabbed
30,56514;Left Hand Presence Physics;(-0.11, 0.59, 5.43);(315.11, 14.74, 66.42)
30,56514;Right Hand Presence Physics;(0.16, 0.57, 5.41);(312.86, 27.38, 357.41)
30,56514;Left Hand Presence Physics;(-0.11, 0.59, 5.43);(315.11, 14.74, 66.42)
30,56514;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
30,56514;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
31,06587;Right Hand Presence Physics;(0.23, 0.59, 5.48);(328.49, 27.86, 351.55)
31,06587;Left Hand Presence Physics;(0.01, 0.61, 5.55);(328.03, 3.46, 8.64)
31,06587;Right Hand Presence Physics;(0.23, 0.59, 5.48);(328.49, 27.86, 351.55)
31,06587;Left Hand Presence Physics;(0.01, 0.61, 5.55);(328.03, 3.46, 8.64)
31,06587;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
31,06587;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
31,60642;Right Hand Presence Physics;(0.22, 0.59, 5.54);(336.17, 15.52, 347.08)
31,60642;Left Hand Presence Physics;(0.09, 0.60, 5.57);(338.35, 21.75, 13.85)
31,60642;Right Hand Presence Physics;(0.22, 0.59, 5.54);(336.17, 15.52, 347.08)
31,60642;Left Hand Presence Physics;(0.09, 0.60, 5.57);(338.35, 21.75, 13.85)
31,60642;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
31,60642;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
32,10552;Right Hand Presence Physics;(0.20, 0.60, 5.53);(335.13, 10.37, 350.33)
32,10552;Left Hand Presence Physics;(0.10, 0.60, 5.56);(341.70, 28.20, 11.41)
32,10552;Right Hand Presence Physics;(0.20, 0.60, 5.53);(335.13, 10.37, 350.33)
32,10552;Left Hand Presence Physics;(0.10, 0.60, 5.56);(341.70, 28.20, 11.41)
32,10552;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
32,10552;Metal Cube;(0.22, 0.56, 5.69);(0.00, 141.18, 18.88);False
32,61745;Right Hand Presence Physics;(0.22, 0.61, 5.51);(331.60, 18.12, 353.28)
32,61745;Left Hand Presence Physics;(0.07, 0.62, 5.57);(337.05, 19.72, 7.72)
32,61745;Right Hand Presence Physics;(0.22, 0.61, 5.51);(331.60, 18.12, 353.28)
32,61745;Left Hand Presence Physics;(0.07, 0.62, 5.57);(337.05, 19.72, 7.72)
32,61745;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
32,61745;Metal Cube;(0.20, 0.55, 5.67);(0.00, 141.20, 0.00);False
33,13127;Right Hand Presence Physics;(0.26, 0.60, 5.58);(338.07, 23.77, 349.91)
33,13127;Left Hand Presence Physics;(0.10, 0.61, 5.63);(347.03, 18.49, 4.97)
