Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5022863;Right Hand Presence Physics;(0.11, 1.43, -0.06);(40.49, 188.03, 340.54)
0,5022863;Left Hand Presence Physics;(-0.07, 1.29, -0.10);(14.79, 35.34, 313.05)
0,5022863;Right Hand Presence Physics;(0.11, 1.43, -0.06);(40.49, 188.03, 340.54)
0,5022863;Left Hand Presence Physics;(-0.07, 1.29, -0.10);(14.79, 35.34, 313.05)
0,5022863;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5022863;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,099715;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.36, 18.67, 333.75)
1,099715;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.83, 25.93, 26.58)
1,099715;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.36, 18.67, 333.75)
1,099715;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.83, 25.93, 26.58)
1,099715;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,099715;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,615809;Right Hand Presence Physics;(0.17, 1.22, 0.34);(327.74, 0.75, 336.18)
1,615809;Left Hand Presence Physics;(-0.19, 1.15, 0.34);(330.26, 352.44, 12.34)
1,615809;Right Hand Presence Physics;(0.17, 1.22, 0.34);(327.74, 0.75, 336.18)
1,615809;Left Hand Presence Physics;(-0.19, 1.15, 0.34);(330.26, 352.44, 12.34)
