Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
0,5114021;Right Hand Presence Physics;(0.35, 1.06, -0.40);(13.19, 277.70, 56.62)
0,5114021;Left Hand Presence Physics;(-0.08, 1.28, -0.10);(18.01, 39.39, 308.39)
0,5114021;Right Hand Presence Physics;(0.35, 1.06, -0.40);(13.19, 277.70, 56.62)
0,5114021;Left Hand Presence Physics;(-0.08, 1.28, -0.10);(18.01, 39.39, 308.39)
0,5114021;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5114021;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
0,5114021;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,021596;Right Hand Presence Physics;(-0.01, 1.30, 0.12);(39.27, 63.32, 330.47)
1,021596;Left Hand Presence Physics;(0.02, 1.37, 0.06);(344.44, 233.72, 94.39)
1,021596;Right Hand Presence Physics;(-0.01, 1.30, 0.12);(39.27, 63.32, 330.47)
1,021596;Left Hand Presence Physics;(0.02, 1.37, 0.06);(344.44, 233.72, 94.39)
1,021596;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,021596;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,021596;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,533975;Right Hand Presence Physics;(0.16, 1.20, 0.38);(333.66, 0.18, 316.54)
1,533975;Left Hand Presence Physics;(-0.15, 1.15, 0.36);(334.04, 14.10, 27.80)
1,533975;Right Hand Presence Physics;(0.16, 1.20, 0.38);(333.66, 0.18, 316.54)
1,533975;Left Hand Presence Physics;(-0.15, 1.15, 0.36);(334.04, 14.10, 27.80)
1,533975;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,533975;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,533975;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,058057;Right Hand Presence Physics;(0.13, 1.18, 0.51);(337.81, 352.02, 336.92)
2,058057;Left Hand Presence Physics;(-0.14, 1.16, 0.46);(327.34, 9.27, 11.69)
2,058057;Right Hand Presence Physics;(0.13, 1.18, 0.51);(337.81, 352.02, 336.92)
2,058057;Left Hand Presence Physics;(-0.14, 1.16, 0.46);(327.34, 9.27, 11.69)
2,058057;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,058057;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,058057;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,58254;Right Hand Presence Physics;(0.42, 1.18, 1.79);(338.41, 351.51, 334.79)
2,58254;Left Hand Presence Physics;(0.14, 1.15, 1.75);(329.68, 6.71, 13.25)
2,58254;Right Hand Presence Physics;(0.42, 1.18, 1.79);(338.41, 351.51, 334.79)
2,58254;Left Hand Presence Physics;(0.14, 1.15, 1.75);(329.68, 6.71, 13.25)
2,58254;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,58254;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,58254;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
3,092252;Right Hand Presence Physics;(0.55, 1.19, 1.96);(334.60, 358.04, 326.07)
3,092252;Left Hand Presence Physics;(0.24, 1.16, 1.92);(328.13, 7.79, 15.98)
3,092252;Right Hand Presence Physics;(0.55, 1.19, 1.96);(334.60, 358.04, 326.07)
3,092252;Left Hand Presence Physics;(0.24, 1.16, 1.92);(328.13, 7.79, 15.98)
3,092252;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,092252;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,092252;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
3,592312;Right Hand Presence Physics;(0.53, 1.20, 2.26);(333.82, 356.96, 327.18)
3,592312;Left Hand Presence Physics;(0.23, 1.15, 2.22);(329.92, 6.11, 16.50)
3,592312;Right Hand Presence Physics;(0.53, 1.20, 2.26);(333.82, 356.96, 327.18)
3,592312;Left Hand Presence Physics;(0.23, 1.15, 2.22);(329.92, 6.11, 16.50)
3,592312;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,592312;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,592312;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
4,094947;Right Hand Presence Physics;(0.53, 1.20, 2.26);(333.86, 356.24, 327.75)
4,094947;Left Hand Presence Physics;(0.23, 1.16, 2.22);(327.49, 7.38, 15.17)
4,094947;Right Hand Presence Physics;(0.53, 1.20, 2.26);(333.86, 356.24, 327.75)
4,094947;Left Hand Presence Physics;(0.23, 1.16, 2.22);(327.49, 7.38, 15.17)
4,094947;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,094947;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,094947;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
4,601879;Right Hand Presence Physics;(0.49, 1.19, 2.82);(334.09, 355.86, 328.09)
4,601879;Left Hand Presence Physics;(0.19, 1.15, 2.79);(328.05, 6.16, 14.43)
4,601879;Right Hand Presence Physics;(0.49, 1.19, 2.82);(334.09, 355.86, 328.09)
4,601879;Left Hand Presence Physics;(0.19, 1.15, 2.79);(328.05, 6.16, 14.43)
4,601879;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,601879;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,601879;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
5,118423;Right Hand Presence Physics;(0.67, 1.19, 3.60);(334.10, 355.84, 328.07)
5,118423;Left Hand Presence Physics;(0.37, 1.15, 3.56);(328.26, 6.15, 14.56)
5,118423;Right Hand Presence Physics;(0.67, 1.19, 3.60);(334.10, 355.84, 328.07)
5,118423;Left Hand Presence Physics;(0.37, 1.15, 3.56);(328.26, 6.15, 14.56)
5,118423;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,118423;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,118423;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
5,627496;Right Hand Presence Physics;(0.67, 1.19, 3.61);(334.10, 355.86, 328.17)
5,627496;Left Hand Presence Physics;(0.38, 1.15, 3.57);(328.24, 6.02, 15.98)
5,627496;Right Hand Presence Physics;(0.67, 1.19, 3.61);(334.10, 355.86, 328.17)
5,627496;Left Hand Presence Physics;(0.38, 1.15, 3.57);(328.24, 6.02, 15.98)
5,627496;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,627496;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,627496;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
6,156774;Right Hand Presence Physics;(0.65, 1.19, 3.73);(334.09, 355.47, 328.44)
6,156774;Left Hand Presence Physics;(0.36, 1.16, 3.69);(327.52, 6.09, 14.41)
6,156774;Right Hand Presence Physics;(0.65, 1.19, 3.73);(334.09, 355.47, 328.44)
6,156774;Left Hand Presence Physics;(0.36, 1.16, 3.69);(327.52, 6.09, 14.41)
6,156774;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,156774;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,156774;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
6,674617;Right Hand Presence Physics;(0.60, 1.20, 3.93);(334.15, 355.39, 328.41)
6,674617;Left Hand Presence Physics;(0.31, 1.15, 3.89);(329.04, 4.98, 16.82)
6,674617;Right Hand Presence Physics;(0.60, 1.20, 3.93);(334.15, 355.39, 328.41)
6,674617;Left Hand Presence Physics;(0.31, 1.15, 3.89);(329.04, 4.98, 16.82)
6,674617;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,674617;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,674617;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
7,191807;Right Hand Presence Physics;(0.61, 1.19, 3.93);(334.28, 355.38, 328.33)
7,191807;Left Hand Presence Physics;(0.30, 1.15, 3.89);(328.75, 4.09, 18.12)
7,191807;Right Hand Presence Physics;(0.61, 1.19, 3.93);(334.28, 355.38, 328.33)
7,191807;Left Hand Presence Physics;(0.30, 1.15, 3.89);(328.75, 4.09, 18.12)
7,191807;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7,191807;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
7,191807;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
7,701598;Right Hand Presence Physics;(0.61, 1.19, 3.93);(334.44, 355.24, 328.32)
7,701598;Left Hand Presence Physics;(0.30, 1.15, 3.89);(328.79, 3.86, 18.25)
7,701598;Right Hand Presence Physics;(0.61, 1.19, 3.93);(334.44, 355.24, 328.32)
7,701598;Left Hand Presence Physics;(0.30, 1.15, 3.89);(328.79, 3.86, 18.25)
7,701598;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7,701598;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
7,701598;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
8,202265;Right Hand Presence Physics;(0.61, 1.19, 3.93);(334.51, 355.48, 328.12)
8,202265;Left Hand Presence Physics;(0.30, 1.15, 3.89);(328.79, 3.93, 18.26)
8,202265;Right Hand Presence Physics;(0.61, 1.19, 3.93);(334.51, 355.48, 328.12)
8,202265;Left Hand Presence Physics;(0.30, 1.15, 3.89);(328.79, 3.93, 18.26)
8,202265;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
8,202265;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
8,202265;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
8,70436;Right Hand Presence Physics;(0.61, 1.19, 3.93);(334.57, 355.40, 328.21)
8,70436;Left Hand Presence Physics;(0.30, 1.15, 3.89);(328.72, 3.80, 18.38)
8,70436;Right Hand Presence Physics;(0.61, 1.19, 3.93);(334.57, 355.40, 328.21)
8,70436;Left Hand Presence Physics;(0.30, 1.15, 3.89);(328.72, 3.80, 18.38)
8,70436;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
8,70436;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
