Timestamp;Name;Position;Rotation;Grabbed
10,35802;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
16,91631;Left Hand Presence Physics;(-0.10, 0.33, 0.29);(353.77, 358.16, 15.73)
16,91631;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
16,91631;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
17,41906;Right Hand Presence Physics;(0.05, 0.34, 1.32);(358.05, 348.64, 326.63)
17,41906;Left Hand Presence Physics;(-0.17, 0.32, 1.35);(355.22, 357.31, 17.70)
17,41906;Right Hand Presence Physics;(0.05, 0.34, 1.32);(358.05, 348.64, 326.63)
17,41906;Left Hand Presence Physics;(-0.17, 0.32, 1.35);(355.22, 357.31, 17.70)
17,41906;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
17,41906;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
17,9207;Right Hand Presence Physics;(-0.01, 0.34, 2.56);(358.58, 347.58, 328.25)
17,9207;Left Hand Presence Physics;(-0.23, 0.31, 2.60);(355.78, 355.97, 18.59)
17,9207;Right Hand Presence Physics;(-0.01, 0.34, 2.56);(358.58, 347.58, 328.25)
17,9207;Left Hand Presence Physics;(-0.23, 0.31, 2.60);(355.78, 355.97, 18.59)
17,9207;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
17,9207;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
18,4217;Right Hand Presence Physics;(0.10, 0.34, 3.81);(358.51, 347.18, 328.56)
18,4217;Left Hand Presence Physics;(-0.11, 0.31, 3.84);(356.17, 355.31, 19.63)
18,4217;Right Hand Presence Physics;(0.10, 0.34, 3.81);(358.51, 347.18, 328.56)
18,4217;Left Hand Presence Physics;(-0.11, 0.31, 3.84);(356.17, 355.31, 19.63)
18,4217;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
18,4217;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
18,9227;Right Hand Presence Physics;(0.07, 0.34, 4.68);(358.73, 346.73, 328.79)
18,9227;Left Hand Presence Physics;(-0.14, 0.31, 4.71);(355.43, 355.26, 19.83)
18,9227;Right Hand Presence Physics;(0.07, 0.34, 4.68);(358.73, 346.73, 328.79)
18,9227;Left Hand Presence Physics;(-0.14, 0.31, 4.71);(355.43, 355.26, 19.83)
18,9227;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
18,9227;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
19,42885;Right Hand Presence Physics;(0.09, 0.78, 5.61);(355.67, 332.98, 330.25)
19,42885;Left Hand Presence Physics;(-0.13, 0.75, 5.64);(6.69, 43.67, 28.36)
19,42885;Right Hand Presence Physics;(0.09, 0.78, 5.61);(355.67, 332.98, 330.25)
19,42885;Left Hand Presence Physics;(-0.13, 0.75, 5.64);(6.69, 43.67, 28.36)
19,42885;Rubber Cube;(-0.21, 0.56, 5.65);(16.38, 359.99, 0.02);False
19,42885;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
19,92501;Right Hand Presence Physics;(0.08, 0.83, 5.61);(356.70, 346.37, 330.32)
19,92501;Left Hand Presence Physics;(-0.12, 0.80, 5.64);(354.09, 355.41, 18.24)
19,92501;Right Hand Presence Physics;(0.08, 0.83, 5.61);(356.70, 346.37, 330.32)
19,92501;Left Hand Presence Physics;(-0.12, 0.80, 5.64);(354.09, 355.41, 18.24)
19,92501;Rubber Cube;(-0.16, 0.82, 8.22);(317.94, 357.20, 1.59);False
19,92501;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
20,42654;Right Hand Presence Physics;(0.21, 0.75, 5.32);(356.76, 347.07, 330.72)
20,42654;Left Hand Presence Physics;(0.01, 0.71, 5.35);(354.97, 356.84, 18.47)
20,42654;Right Hand Presence Physics;(0.21, 0.75, 5.32);(356.76, 347.07, 330.72)
20,42654;Left Hand Presence Physics;(0.01, 0.71, 5.35);(354.97, 356.84, 18.47)
20,42654;Rubber Cube;(-0.18, 0.52, 10.10);(282.53, 188.83, 170.13);False
20,42654;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
20,9286;Right Hand Presence Physics;(0.59, 0.36, 4.13);(356.93, 347.57, 331.95)
20,9286;Left Hand Presence Physics;(0.39, 0.32, 4.16);(354.76, 356.94, 18.66)
20,9286;Right Hand Presence Physics;(0.59, 0.36, 4.13);(356.93, 347.57, 331.95)
20,9286;Left Hand Presence Physics;(0.39, 0.32, 4.16);(354.76, 356.94, 18.66)
20,9286;Rubber Cube;(-0.26, 0.12, 11.05);(87.14, 2.58, 4.13);False
20,9286;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
21,43027;Right Hand Presence Physics;(0.95, 0.35, 2.93);(357.42, 347.79, 331.82)
21,43027;Left Hand Presence Physics;(0.76, 0.32, 2.96);(355.04, 357.09, 18.82)
21,43027;Right Hand Presence Physics;(0.95, 0.35, 2.93);(357.42, 347.79, 331.82)
21,43027;Left Hand Presence Physics;(0.76, 0.32, 2.96);(355.04, 357.09, 18.82)
21,43027;Rubber Cube;(-0.27, 0.07, 11.45);(39.03, 359.77, 0.00);False
21,43027;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
21,93169;Right Hand Presence Physics;(0.99, 0.35, 1.69);(355.46, 350.87, 336.51)
21,93169;Left Hand Presence Physics;(0.79, 0.31, 1.72);(355.65, 357.34, 18.98)
21,93169;Right Hand Presence Physics;(0.99, 0.35, 1.69);(355.46, 350.87, 336.51)
21,93169;Left Hand Presence Physics;(0.79, 0.31, 1.72);(355.65, 357.34, 18.98)
21,93169;Rubber Cube;(-0.27, 0.05, 11.40);(0.00, 359.77, 0.00);False
21,93169;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
22,43262;Right Hand Presence Physics;(0.97, 0.35, 1.66);(351.61, 354.49, 342.17)
22,43262;Left Hand Presence Physics;(0.78, 0.32, 1.69);(354.82, 356.99, 18.40)
22,43262;Right Hand Presence Physics;(0.97, 0.35, 1.66);(351.61, 354.49, 342.17)
22,43262;Left Hand Presence Physics;(0.78, 0.32, 1.69);(354.82, 356.99, 18.40)
22,43262;Rubber Cube;(-0.27, 0.05, 11.40);(0.00, 359.77, 0.00);False
22,43262;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
22,93428;Right Hand Presence Physics;(0.87, 0.35, 1.67);(351.94, 354.30, 341.97)
22,93428;Left Hand Presence Physics;(0.67, 0.32, 1.70);(354.62, 357.68, 19.26)
22,93428;Right Hand Presence Physics;(0.87, 0.35, 1.67);(351.94, 354.30, 341.97)
22,93428;Left Hand Presence Physics;(0.67, 0.32, 1.70);(354.62, 357.68, 19.26)
22,93428;Rubber Cube;(-0.27, 0.05, 11.40);(0.00, 359.77, 0.00);False
22,93428;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
23,43516;Right Hand Presence Physics;(0.70, 0.34, 1.69);(352.25, 353.73, 342.31)
23,43516;Left Hand Presence Physics;(0.51, 0.32, 1.72);(354.57, 357.74, 17.98)
23,43516;Right Hand Presence Physics;(0.70, 0.34, 1.69);(352.25, 353.73, 342.31)
23,43516;Left Hand Presence Physics;(0.51, 0.32, 1.72);(354.57, 357.74, 17.98)
23,43516;Rubber Cube;(-0.27, 0.05, 11.40);(0.00, 359.77, 0.00);False
23,43516;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
23,93783;Right Hand Presence Physics;(0.53, 0.34, 2.80);(352.86, 353.31, 342.24)
23,93783;Left Hand Presence Physics;(0.34, 0.31, 2.83);(355.30, 357.67, 17.41)
23,93783;Right Hand Presence Physics;(0.53, 0.34, 2.80);(352.86, 353.31, 342.24)
23,93783;Left Hand Presence Physics;(0.34, 0.31, 2.83);(355.30, 357.67, 17.41)
23,93783;Rubber Cube;(-0.27, 0.05, 11.40);(0.00, 359.77, 0.00);False
23,93783;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
24,439;Right Hand Presence Physics;(0.26, 0.34, 4.02);(353.03, 352.99, 342.08)
24,439;Left Hand Presence Physics;(0.07, 0.31, 4.05);(356.13, 357.47, 16.97)
24,439;Right Hand Presence Physics;(0.26, 0.34, 4.02);(353.03, 352.99, 342.08)
24,439;Left Hand Presence Physics;(0.07, 0.31, 4.05);(356.13, 357.47, 16.97)
24,439;Rubber Cube;(-0.27, 0.05, 11.40);(0.00, 359.77, 0.00);False
24,439;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
24,94036;Right Hand Presence Physics;(0.40, 0.34, 4.89);(352.75, 352.94, 342.30)
24,94036;Left Hand Presence Physics;(0.21, 0.31, 4.92);(355.06, 356.57, 17.30)
24,94036;Right Hand Presence Physics;(0.40, 0.34, 4.89);(352.75, 352.94, 342.30)
24,94036;Left Hand Presence Physics;(0.21, 0.31, 4.92);(355.06, 356.57, 17.30)
24,94036;Rubber Cube;(-0.27, 0.05, 11.40);(0.00, 359.77, 0.00);False
24,94036;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
25,44115;Right Hand Presence Physics;(0.37, 0.34, 5.28);(352.15, 352.97, 342.54)
25,44115;Left Hand Presence Physics;(0.17, 0.32, 5.31);(353.92, 356.87, 18.07)
25,44115;Right Hand Presence Physics;(0.37, 0.34, 5.28);(352.15, 352.97, 342.54)
25,44115;Left Hand Presence Physics;(0.17, 0.32, 5.31);(353.92, 356.87, 18.07)
25,44115;Rubber Cube;(-0.27, 0.05, 11.40);(0.00, 359.77, 0.00);False
25,44115;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
25,94317;Right Hand Presence Physics;(0.33, 0.35, 5.28);(350.49, 352.47, 341.63)
25,94317;Left Hand Presence Physics;(0.13, 0.32, 5.31);(355.27, 356.49, 17.99)
25,94317;Right Hand Presence Physics;(0.33, 0.35, 5.28);(350.49, 352.47, 341.63)
25,94317;Left Hand Presence Physics;(0.13, 0.32, 5.31);(355.27, 356.49, 17.99)
25,94317;Rubber Cube;(-0.27, 0.05, 11.40);(0.00, 359.77, 0.00);False
25,94317;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
26,4439;Right Hand Presence Physics;(0.26, 0.35, 5.31);(350.73, 353.02, 343.28)
26,4439;Left Hand Presence Physics;(0.07, 0.32, 5.35);(354.93, 356.40, 18.11)
26,4439;Right Hand Presence Physics;(0.26, 0.35, 5.31);(350.73, 353.02, 343.28)
26,4439;Left Hand Presence Physics;(0.07, 0.32, 5.35);(354.93, 356.40, 18.11)
26,4439;Rubber Cube;(-0.27, 0.05, 11.40);(0.00, 359.77, 0.00);False
26,4439;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
26,94551;Right Hand Presence Physics;(0.18, 0.35, 5.37);(350.77, 352.28, 343.89)
26,94551;Left Hand Presence Physics;(-0.02, 0.32, 5.40);(2.67, 52.26, 18.49)
26,94551;Right Hand Presence Physics;(0.18, 0.35, 5.37);(350.77, 352.28, 343.89)
26,94551;Left Hand Presence Physics;(-0.02, 0.32, 5.40);(2.67, 52.26, 18.49)
26,94551;Rubber Cube;(-0.27, 0.05, 11.40);(0.00, 359.77, 0.00);False
26,94551;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
27,44778;Right Hand Presence Physics;(0.17, 0.35, 5.37);(351.17, 351.88, 346.51)
27,44778;Left Hand Presence Physics;(-0.02, 0.32, 5.40);(2.14, 52.27, 18.39)
27,44778;Right Hand Presence Physics;(0.17, 0.35, 5.37);(351.17, 351.88, 346.51)
27,44778;Left Hand Presence Physics;(-0.02, 0.32, 5.40);(2.14, 52.27, 18.39)
27,44778;Rubber Cube;(-0.21, 1.25, 5.60);(0.00, 359.77, 0.00);False
27,44778;Metal Cube;(0.17, 1.25, 5.60);(0.00, 0.00, 0.00);False
27,94881;Right Hand Presence Physics;(0.17, 0.35, 5.38);(351.70, 350.57, 346.30)
27,94881;Left Hand Presence Physics;(-0.02, 0.32, 5.40);(3.09, 52.26, 18.95)
27,94881;Right Hand Presence Physics;(0.17, 0.35, 5.38);(351.70, 350.57, 346.30)
27,94881;Left Hand Presence Physics;(-0.02, 0.32, 5.40);(3.09, 52.26, 18.95)
27,94881;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
27,94881;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
28,45033;Right Hand Presence Physics;(0.17, 0.35, 5.38);(352.08, 349.96, 346.48)
28,45033;Left Hand Presence Physics;(-0.02, 0.32, 5.40);(3.22, 52.28, 19.13)
28,45033;Right Hand Presence Physics;(0.17, 0.35, 5.38);(352.08, 349.96, 346.48)
28,45033;Left Hand Presence Physics;(-0.02, 0.32, 5.40);(3.22, 52.28, 19.13)
28,45033;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
28,45033;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
28,95132;Right Hand Presence Physics;(0.17, 0.35, 5.38);(351.08, 348.53, 346.00)
28,95132;Left Hand Presence Physics;(-0.03, 0.32, 5.40);(3.02, 52.26, 18.94)
28,95132;Right Hand Presence Physics;(0.17, 0.35, 5.38);(351.08, 348.53, 346.00)
28,95132;Left Hand Presence Physics;(-0.03, 0.32, 5.40);(3.02, 52.26, 18.94)
28,95132;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
28,95132;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
29,45389;Right Hand Presence Physics;(0.18, 0.35, 5.39);(359.55, 270.54, 339.96)
29,45389;Left Hand Presence Physics;(-0.02, 0.32, 5.39);(354.38, 93.67, 19.57)
29,45389;Right Hand Presence Physics;(0.18, 0.35, 5.39);(359.55, 270.54, 339.96)
29,45389;Left Hand Presence Physics;(-0.02, 0.32, 5.39);(354.38, 93.67, 19.57)
29,45389;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
29,45389;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
29,95432;Right Hand Presence Physics;(0.20, 0.39, 5.39);(358.44, 270.54, 339.95)
29,95432;Left Hand Presence Physics;(-0.01, 0.37, 5.39);(351.98, 93.69, 19.42)
29,95432;Right Hand Presence Physics;(0.20, 0.39, 5.39);(358.44, 270.54, 339.95)
29,95432;Left Hand Presence Physics;(-0.01, 0.37, 5.39);(351.98, 93.69, 19.42)
29,95432;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
29,95432;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
30,45628;Right Hand Presence Physics;(0.25, 0.51, 5.39);(346.83, 270.55, 339.84)
30,45628;Left Hand Presence Physics;(0.00, 0.53, 5.39);(336.71, 93.98, 18.33)
30,45628;Right Hand Presence Physics;(0.25, 0.51, 5.39);(346.83, 270.55, 339.84)
30,45628;Left Hand Presence Physics;(0.00, 0.53, 5.39);(336.71, 93.98, 18.33)
30,45628;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
30,45628;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
30,95753;Right Hand Presence Physics;(0.27, 0.61, 5.44);(322.99, 5.35, 354.68)
30,95753;Left Hand Presence Physics;(0.03, 0.61, 5.51);(325.98, 0.21, 9.39)
30,95753;Right Hand Presence Physics;(0.27, 0.61, 5.44);(322.99, 5.35, 354.68)
30,95753;Left Hand Presence Physics;(0.03, 0.61, 5.51);(325.98, 0.21, 9.39)
30,95753;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
30,95753;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
31,45901;Right Hand Presence Physics;(0.30, 0.61, 5.42);(321.69, 8.42, 350.56)
31,45901;Left Hand Presence Physics;(0.09, 0.61, 5.58);(333.35, 6.60, 5.52)
31,45901;Right Hand Presence Physics;(0.30, 0.61, 5.42);(321.69, 8.42, 350.56)
31,45901;Left Hand Presence Physics;(0.09, 0.61, 5.58);(333.35, 6.60, 5.52)
31,45901;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
31,45901;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
31,96029;Right Hand Presence Physics;(0.34, 0.60, 5.40);(322.79, 15.27, 346.49)
31,96029;Left Hand Presence Physics;(0.18, 0.61, 5.58);(332.26, 11.91, 359.70)
31,96029;Right Hand Presence Physics;(0.34, 0.60, 5.40);(322.79, 15.27, 346.49)
31,96029;Left Hand Presence Physics;(0.18, 0.61, 5.58);(332.26, 11.91, 359.70)
31,96029;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
31,96029;Metal Cube;(0.21, 0.55, 5.59);(0.02, 19.02, 359.85);False
32,46061;Right Hand Presence Physics;(0.38, 0.57, 5.38);(325.54, 21.41, 342.28)
32,46061;Left Hand Presence Physics;(0.20, 0.61, 5.57);(316.05, 20.73, 347.06)
32,46061;Right Hand Presence Physics;(0.38, 0.57, 5.38);(325.54, 21.41, 342.28)
32,46061;Left Hand Presence Physics;(0.20, 0.61, 5.57);(316.05, 20.73, 347.06)
32,46061;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
32,46061;Metal Cube;(0.23, 0.55, 5.59);(0.00, 27.13, 0.00);False
32,96163;Right Hand Presence Physics;(0.39, 0.56, 5.38);(326.37, 22.20, 341.22)
32,96163;Left Hand Presence Physics;(0.27, 0.61, 5.56);(313.01, 24.03, 335.57)
32,96163;Right Hand Presence Physics;(0.39, 0.56, 5.38);(326.37, 22.20, 341.22)
32,96163;Left Hand Presence Physics;(0.27, 0.61, 5.56);(313.01, 24.03, 335.57)
32,96163;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
32,96163;Metal Cube;(0.29, 0.55, 5.59);(0.00, 27.13, 0.00);False
33,46284;Right Hand Presence Physics;(0.39, 0.56, 5.38);(326.35, 22.33, 341.69)
33,46284;Left Hand Presence Physics;(0.37, 0.61, 5.54);(323.16, 307.40, 10.18)
33,46284;Right Hand Presence Physics;(0.39, 0.56, 5.38);(326.35, 22.33, 341.69)
33,46284;Left Hand Presence Physics;(0.37, 0.61, 5.54);(323.16, 307.40, 10.18)
33,46284;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
33,46284;Metal Cube;(0.37, 0.55, 5.60);(0.06, 35.53, 359.96);False
33,96441;Right Hand Presence Physics;(0.25, 0.57, 5.41);(317.05, 338.24, 308.32)
33,96441;Left Hand Presence Physics;(0.14, 0.61, 5.49);(335.70, 10.09, 42.25)
33,96441;Right Hand Presence Physics;(0.25, 0.57, 5.41);(317.05, 338.24, 308.32)
33,96441;Left Hand Presence Physics;(0.14, 0.61, 5.49);(335.70, 10.09, 42.25)
33,96441;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
33,96441;Metal Cube;(0.38, 0.55, 5.61);(0.00, 46.51, 0.00);False
34,46507;Right Hand Presence Physics;(0.04, 0.59, 5.50);(329.90, 343.28, 3.62)
34,46507;Left Hand Presence Physics;(0.01, 0.41, 5.37);(340.24, 96.47, 347.86)
34,46507;Right Hand Presence Physics;(0.04, 0.59, 5.50);(329.90, 343.28, 3.62)
34,46507;Left Hand Presence Physics;(0.01, 0.41, 5.37);(340.24, 96.47, 347.86)
34,46507;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
34,46507;Metal Cube;(0.38, 0.55, 5.61);(0.00, 46.51, 0.00);False
34,96631;Right Hand Presence Physics;(-0.03, 0.60, 5.51);(331.10, 339.16, 8.38)
34,96631;Left Hand Presence Physics;(-0.08, 0.46, 5.37);(322.04, 97.73, 345.29)
34,96631;Right Hand Presence Physics;(-0.03, 0.60, 5.51);(331.10, 339.16, 8.38)
34,96631;Left Hand Presence Physics;(-0.08, 0.46, 5.37);(322.04, 97.73, 345.29)
34,96631;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 359.77, 0.00);False
34,96631;Metal Cube;(0.38, 0.55, 5.61);(0.00, 46.51, 0.00);False
35,46843;Right Hand Presence Physics;(-0.18, 0.59, 5.55);(338.64, 334.33, 12.41)
35,46843;Left Hand Presence Physics;(-0.08, 0.42, 5.37);(321.88, 97.75, 345.26)
35,46843;Right Hand Presence Physics;(-0.18, 0.59, 5.55);(338.64, 334.33, 12.41)
35,46843;Left Hand Presence Physics;(-0.08, 0.42, 5.37);(321.88, 97.75, 345.26)
35,46843;Rubber Cube;(-0.30, 0.59, 5.60);(0.45, 357.66, 78.77);False
35,46843;Metal Cube;(0.38, 0.55, 5.61);(0.00, 46.51, 0.00);False
35,96947;Right Hand Presence Physics;(-0.27, 0.59, 5.54);(339.86, 329.60, 17.87)
35,96947;Left Hand Presence Physics;(-0.10, 0.41, 5.37);(318.14, 98.19, 344.58)
35,96947;Right Hand Presence Physics;(-0.27, 0.59, 5.54);(339.86, 329.60, 17.87)
35,96947;Left Hand Presence Physics;(-0.10, 0.41, 5.37);(318.14, 98.19, 344.58)
35,96947;Rubber Cube;(-0.34, 0.56, 5.60);(0.00, 357.37, 105.08);False
35,96947;Metal Cube;(0.38, 0.55, 5.61);(0.00, 46.51, 0.00);False
36,47116;Right Hand Presence Physics;(-0.40, 0.60, 5.54);(333.11, 333.69, 15.64)
36,47116;Left Hand Presence Physics;(-0.13, 0.40, 5.37);(313.39, 98.88, 343.59)
36,47116;Right Hand Presence Physics;(-0.40, 0.60, 5.54);(333.11, 333.69, 15.64)
36,47116;Left Hand Presence Physics;(-0.13, 0.40, 5.37);(313.39, 98.88, 343.59)
36,47116;Rubber Cube;(-0.45, 0.55, 5.58);(0.75, 346.13, 184.00);False
36,47116;Metal Cube;(0.38, 0.55, 5.61);(0.00, 46.51, 0.00);False
36,97236;Right Hand Presence Physics;(-0.47, 0.59, 5.52);(339.38, 320.98, 26.47)
36,97236;Left Hand Presence Physics;(-0.17, 0.39, 5.37);(308.49, 99.81, 342.35)
36,97236;Right Hand Presence Physics;(-0.47, 0.59, 5.52);(339.38, 320.98, 26.47)
36,97236;Left Hand Presence Physics;(-0.17, 0.39, 5.37);(308.49, 99.81, 342.35)
36,97236;Rubber Cube;(-0.91, 0.56, 5.58);(348.48, 68.59, 92.63);False
36,97236;Metal Cube;(0.38, 0.55, 5.61);(0.00, 46.51, 0.00);False
37,47356;Right Hand Presence Physics;(-0.30, 0.59, 5.50);(338.53, 316.80, 14.93)
37,47356;Left Hand Presence Physics;(-0.16, 0.39, 5.37);(308.29, 99.85, 342.30)
37,47356;Right Hand Presence Physics;(-0.30, 0.59, 5.50);(338.53, 316.80, 14.93)
37,47356;Left Hand Presence Physics;(-0.16, 0.39, 5.37);(308.29, 99.85, 342.30)
37,47356;Rubber Cube;(-1.07, 0.09, 5.59);(40.51, 301.71, 266.42);False
37,47356;Metal Cube;(0.38, 0.55, 5.61);(0.00, 46.51, 0.00);False
37,97518;Right Hand Presence Physics;(0.08, 0.56, 5.50);(330.58, 341.87, 34.88)
37,97518;Left Hand Presence Physics;(-0.08, 0.42, 5.37);(315.34, 98.57, 344.01)
37,97518;Right Hand Presence Physics;(0.08, 0.56, 5.50);(330.58, 341.87, 34.88)
37,97518;Left Hand Presence Physics;(-0.08, 0.42, 5.37);(315.34, 98.57, 344.01)
37,97518;Rubber Cube;(-1.00, 0.05, 5.70);(0.00, 256.40, 180.00);False
37,97518;Metal Cube;(0.38, 0.55, 5.61);(0.00, 46.51, 0.00);False
