Timestamp;Name;Position;Rotation;Grabbed
10,35802;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
10,35802;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
10,35802;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
10,35802;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
10,35802;Rubber Cube;(-0.21, 1.27, 5.60);(0.00, 0.00, 0.00);False
10,35802;Metal Cube;(0.17, 1.27, 5.60);(0.00, 0.00, 0.00);False
14,35947;Right Hand Presence Physics;(0.01, 0.08, 0.00);(357.90, 346.99, 279.70)
14,35947;Left Hand Presence Physics;(-0.02, 0.07, 0.00);(335.08, 344.03, 333.11)
14,35947;Right Hand Presence Physics;(0.01, 0.08, 0.00);(357.90, 346.99, 279.70)
14,35947;Left Hand Presence Physics;(-0.02, 0.07, 0.00);(335.08, 344.03, 333.11)
14,35947;Rubber Cube;(-0.21, 0.57, 5.60);(359.99, 0.00, 0.00);False
14,35947;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
14,90878;Right Hand Presence Physics;(0.15, 0.31, 0.25);(14.17, 355.08, 320.15)
14,90878;Left Hand Presence Physics;(-0.07, 0.12, 0.29);(8.32, 79.94, 98.50)
14,90878;Right Hand Presence Physics;(0.15, 0.31, 0.25);(14.17, 355.08, 320.15)
14,90878;Left Hand Presence Physics;(-0.07, 0.12, 0.29);(8.32, 79.94, 98.50)
14,90878;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
14,90878;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
15,40991;Right Hand Presence Physics;(0.16, 0.32, 0.24);(3.87, 351.12, 313.72)
15,40991;Left Hand Presence Physics;(-0.04, 0.20, 0.26);(14.64, 13.73, 32.99)
15,40991;Right Hand Presence Physics;(0.16, 0.32, 0.24);(3.87, 351.12, 313.72)
15,40991;Left Hand Presence Physics;(-0.04, 0.20, 0.26);(14.64, 13.73, 32.99)
15,40991;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
15,40991;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
15,91157;Right Hand Presence Physics;(0.16, 0.35, 0.23);(358.12, 350.72, 321.38)
15,91157;Left Hand Presence Physics;(-0.05, 0.29, 0.26);(3.84, 6.75, 20.31)
15,91157;Right Hand Presence Physics;(0.16, 0.35, 0.23);(358.12, 350.72, 321.38)
15,91157;Left Hand Presence Physics;(-0.05, 0.29, 0.26);(3.84, 6.75, 20.31)
15,91157;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
15,91157;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
16,41406;Right Hand Presence Physics;(0.15, 0.35, 0.23);(357.26, 349.90, 323.37)
16,41406;Left Hand Presence Physics;(-0.08, 0.32, 0.26);(357.32, 358.17, 15.86)
16,41406;Right Hand Presence Physics;(0.15, 0.35, 0.23);(357.26, 349.90, 323.37)
16,41406;Left Hand Presence Physics;(-0.08, 0.32, 0.26);(357.32, 358.17, 15.86)
16,41406;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
16,41406;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
16,91631;Right Hand Presence Physics;(0.13, 0.35, 0.26);(357.71, 349.78, 325.22)
16,91631;Left Hand Presence Physics;(-0.10, 0.33, 0.29);(353.77, 358.16, 15.73)
16,91631;Right Hand Presence Physics;(0.13, 0.35, 0.26);(357.71, 349.78, 325.22)
