Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5036645;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5036645;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5036645;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5036645;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5036645;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5036645;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.00389;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.00389;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.00389;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.00389;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.00389;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.00389;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.504953;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.504953;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.504953;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.504953;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.504953;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.504953;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.005562;Right Hand Presence Physics;(-0.31, 1.31, 0.06);(0.00, 261.80, 0.00)
2.005562;Left Hand Presence Physics;(-0.28, 1.31, -0.14);(0.00, 261.80, 0.00)
2.005562;Right Hand Presence Physics;(-0.31, 1.31, 0.06);(0.00, 261.80, 0.00)
2.005562;Left Hand Presence Physics;(-0.28, 1.31, -0.14);(0.00, 261.80, 0.00)
2.005562;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.005562;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.506947;Right Hand Presence Physics;(-0.68, 1.31, 0.29);(0.00, 282.00, 0.00)
2.506947;Left Hand Presence Physics;(-0.72, 1.31, 0.10);(0.00, 282.00, 0.00)
2.506947;Right Hand Presence Physics;(-0.68, 1.31, 0.29);(0.00, 282.00, 0.00)
2.506947;Left Hand Presence Physics;(-0.72, 1.31, 0.10);(0.00, 282.00, 0.00)
2.506947;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.506947;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.007547;Right Hand Presence Physics;(-0.83, 1.31, 0.76);(0.00, 328.60, 0.00)
3.007547;Left Hand Presence Physics;(-1.00, 1.31, 0.65);(0.00, 328.60, 0.00)
3.007547;Right Hand Presence Physics;(-0.83, 1.31, 0.76);(0.00, 328.60, 0.00)
3.007547;Left Hand Presence Physics;(-1.00, 1.31, 0.65);(0.00, 328.60, 0.00)
