Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.500988;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.500988;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.500988;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.500988;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.500988;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.500988;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.001406;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001406;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001406;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001406;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001406;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.001406;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.50247;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.50247;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.50247;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.50247;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.50247;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.50247;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.003406;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.003406;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.003406;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.003406;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.003406;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.003406;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.504436;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.504436;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.504436;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.504436;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.504436;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.504436;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.005254;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.005254;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.005254;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.005254;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
