Timestamp;Type;Name;Position;Rotation
100,6519;1;Main Camera;(-0.17, 0.74, 5.15);(12.35, 340.27, 359.61)
100,6519;1;Right Hand Presence Physics;(-0.09, 0.61, 5.37);(314.69, 352.93, 356.75)
100,6519;1;Left Hand Presence Physics;(-0.30, 0.63, 5.36);(316.15, 336.75, 16.54)
100,6519;1;Right Hand Presence Physics;(-0.09, 0.61, 5.37);(314.69, 352.93, 356.75)
100,6519;1;Left Hand Presence Physics;(-0.30, 0.63, 5.36);(316.15, 336.75, 16.54)
100,6519;2;Rubber Cube;(-0.32, 0.55, 5.57);(0.00, 25.90, 0.00)
100,6519;2;Metal Cube;(-0.06, 0.55, 5.61);(0.00, 203.38, 0.00)
101,1494;1;Main Camera;(-0.16, 0.76, 5.15);(5.19, 342.57, 358.55)
101,1494;1;Right Hand Presence Physics;(-0.09, 0.61, 5.37);(313.13, 352.98, 357.42)
101,1494;1;Left Hand Presence Physics;(-0.30, 0.63, 5.37);(321.05, 339.47, 20.11)
101,1494;1;Right Hand Presence Physics;(-0.09, 0.61, 5.37);(313.13, 352.98, 357.42)
101,1494;1;Left Hand Presence Physics;(-0.30, 0.63, 5.37);(321.05, 339.47, 20.11)
101,1494;2;Rubber Cube;(-0.32, 0.55, 5.57);(0.00, 25.90, 0.00)
101,1494;2;Metal Cube;(-0.06, 0.55, 5.61);(0.00, 203.38, 0.00)
101,6494;1;Main Camera;(-0.16, 0.81, 5.11);(334.95, 330.41, 359.48)
101,6494;1;Right Hand Presence Physics;(-0.10, 0.59, 5.43);(350.10, 2.03, 308.34)
101,6494;1;Left Hand Presence Physics;(-0.34, 0.61, 5.39);(338.57, 332.23, 30.06)
101,6494;1;Right Hand Presence Physics;(-0.10, 0.59, 5.43);(350.10, 2.03, 308.34)
101,6494;1;Left Hand Presence Physics;(-0.34, 0.61, 5.39);(338.57, 332.23, 30.06)
101,6494;2;Rubber Cube;(-0.32, 0.55, 5.57);(0.00, 25.90, 0.00)
101,6494;2;Metal Cube;(-0.06, 0.55, 5.61);(0.00, 203.38, 0.00)
102,1509;1;Main Camera;(-0.17, 0.79, 5.13);(347.48, 334.83, 358.38)
102,1509;1;Right Hand Presence Physics;(-0.09, 0.60, 5.42);(343.83, 6.31, 321.06)
102,1509;1;Left Hand Presence Physics;(-0.32, 0.61, 5.39);(350.04, 336.65, 28.74)
102,1509;1;Right Hand Presence Physics;(-0.09, 0.60, 5.42);(343.83, 6.31, 321.06)
102,1509;1;Left Hand Presence Physics;(-0.32, 0.61, 5.39);(350.04, 336.65, 28.74)
102,1509;2;Rubber Cube;(-0.32, 0.55, 5.57);(0.00, 25.90, 0.00)
102,1509;2;Metal Cube;(-0.06, 0.55, 5.61);(0.00, 203.38, 0.00)
102,6525;1;Main Camera;(-0.17, 0.75, 5.17);(9.36, 344.56, 358.73)
102,6525;1;Right Hand Presence Physics;(-0.09, 0.60, 5.41);(332.51, 1.88, 352.84)
102,6525;1;Left Hand Presence Physics;(-0.33, 0.62, 5.40);(336.27, 330.62, 17.62)
102,6525;1;Right Hand Presence Physics;(-0.09, 0.60, 5.41);(332.51, 1.88, 352.84)
102,6525;1;Left Hand Presence Physics;(-0.33, 0.62, 5.40);(336.27, 330.62, 17.62)
102,6525;2;Rubber Cube;(-0.32, 0.55, 5.57);(0.00, 25.90, 0.00)
102,6525;2;Metal Cube;(-0.06, 0.55, 5.61);(0.00, 203.38, 0.00)
103,1606;1;Main Camera;(-0.15, 0.74, 5.18);(12.75, 357.30, 0.70)
103,1606;1;Right Hand Presence Physics;(-0.06, 0.60, 5.41);(327.77, 8.85, 2.48)
103,1606;1;Left Hand Presence Physics;(-0.35, 0.62, 5.40);(334.41, 328.23, 11.08)
103,1606;1;Right Hand Presence Physics;(-0.06, 0.60, 5.41);(327.77, 8.85, 2.48)
103,1606;1;Left Hand Presence Physics;(-0.35, 0.62, 5.40);(334.41, 328.23, 11.08)
103,1606;2;Rubber Cube;(-0.32, 0.55, 5.57);(0.00, 25.90, 0.00)
103,1606;2;Metal Cube;(-0.06, 0.55, 5.61);(0.00, 203.38, 0.00)
103,6695;1;Main Camera;(-0.15, 0.74, 5.18);(14.81, 355.81, 1.52)
103,6695;1;Right Hand Presence Physics;(-0.05, 0.60, 5.51);(330.84, 15.00, 17.27)
103,6695;1;Left Hand Presence Physics;(-0.33, 0.61, 5.49);(338.11, 326.29, 355.48)
103,6695;1;Right Hand Presence Physics;(-0.05, 0.60, 5.51);(330.84, 15.00, 17.27)
103,6695;1;Left Hand Presence Physics;(-0.33, 0.61, 5.49);(338.11, 326.29, 355.48)
103,6695;2;Rubber Cube;(-0.32, 0.55, 5.57);(0.00, 25.90, 0.00)
103,6695;2;Metal Cube;(-0.06, 0.55, 5.61);(0.00, 203.38, 0.00)
104,1696;1;Main Camera;(-0.16, 0.74, 5.17);(11.70, 351.50, 0.47)
104,1696;1;Right Hand Presence Physics;(-0.06, 0.65, 5.50);(324.14, 16.33, 13.47)
104,1696;1;Left Hand Presence Physics;(-0.33, 0.66, 5.48);(331.96, 325.86, 0.20)
104,1696;1;Right Hand Presence Physics;(-0.06, 0.65, 5.50);(324.14, 16.33, 13.47)
104,1696;1;Left Hand Presence Physics;(-0.33, 0.66, 5.48);(331.96, 325.86, 0.20)
104,1696;2;Rubber Cube;(-0.33, 0.62, 5.54);(352.94, 27.79, 356.76)
104,1696;2;Metal Cube;(-0.07, 0.62, 5.56);(8.64, 203.48, 0.64)
104,6718;1;Main Camera;(-0.14, 0.77, 5.13);(0.37, 352.41, 359.54)
104,6718;1;Right Hand Presence Physics;(-0.06, 0.67, 5.46);(322.56, 20.54, 358.97)
104,6718;1;Left Hand Presence Physics;(-0.28, 0.70, 5.44);(323.56, 338.85, 1.32)
104,6718;1;Right Hand Presence Physics;(-0.06, 0.67, 5.46);(322.56, 20.54, 358.97)
104,6718;1;Left Hand Presence Physics;(-0.28, 0.70, 5.44);(323.56, 338.85, 1.32)
104,6718;2;Rubber Cube;(-0.27, 0.67, 5.51);(348.22, 42.56, 349.61)
104,6718;2;Metal Cube;(-0.09, 0.65, 5.53);(9.47, 200.90, 12.50)
105,1724;1;Main Camera;(-0.14, 0.76, 5.16);(7.19, 353.84, 358.44)
105,1724;1;Right Hand Presence Physics;(-0.07, 0.65, 5.43);(318.63, 20.43, 0.55)
105,1724;1;Left Hand Presence Physics;(-0.25, 0.67, 5.45);(329.19, 349.58, 3.72)
105,1724;1;Right Hand Presence Physics;(-0.07, 0.65, 5.43);(318.63, 20.43, 0.55)
105,1724;1;Left Hand Presence Physics;(-0.25, 0.67, 5.45);(329.19, 349.58, 3.72)
105,1724;2;Rubber Cube;(-0.23, 0.64, 5.51);(354.60, 64.87, 352.44)
105,1724;2;Metal Cube;(-0.09, 0.64, 5.50);(13.42, 201.55, 11.29)
105,6742;1;Main Camera;(-0.13, 0.73, 5.18);(16.46, 3.46, 0.33)
105,6742;1;Right Hand Presence Physics;(-0.02, 0.59, 5.45);(328.42, 19.55, 17.24)
105,6742;1;Left Hand Presence Physics;(-0.25, 0.62, 5.47);(338.95, 351.26, 351.72)
105,6742;1;Right Hand Presence Physics;(-0.02, 0.59, 5.45);(328.42, 19.55, 17.24)
105,6742;1;Left Hand Presence Physics;(-0.25, 0.62, 5.47);(338.95, 351.26, 351.72)
105,6742;2;Rubber Cube;(-0.23, 0.56, 5.52);(2.98, 49.61, 358.93)
105,6742;2;Metal Cube;(-0.03, 0.56, 5.52);(4.86, 208.38, 356.93)
106,1755;1;Main Camera;(-0.13, 0.73, 5.18);(16.79, 3.92, 0.20)
106,1755;1;Right Hand Presence Physics;(0.01, 0.61, 5.43);(327.16, 21.10, 13.65)
106,1755;1;Left Hand Presence Physics;(-0.19, 0.64, 5.42);(330.48, 357.00, 354.17)
106,1755;1;Right Hand Presence Physics;(0.01, 0.61, 5.43);(327.16, 21.10, 13.65)
106,1755;1;Left Hand Presence Physics;(-0.19, 0.64, 5.42);(330.48, 357.00, 354.17)
106,1755;2;Rubber Cube;(-0.23, 0.55, 5.53);(4.81, 50.60, 8.98)
106,1755;2;Metal Cube;(-0.02, 0.55, 5.52);(0.00, 208.30, 0.00)
106,6861;1;Main Camera;(-0.12, 0.73, 5.18);(16.18, 3.56, 359.94)
106,6861;1;Right Hand Presence Physics;(0.04, 0.60, 5.46);(334.38, 21.79, 4.04)
106,6861;1;Left Hand Presence Physics;(-0.11, 0.61, 5.48);(342.88, 2.29, 358.70)
106,6861;1;Right Hand Presence Physics;(0.04, 0.60, 5.46);(334.38, 21.79, 4.04)
106,6861;1;Left Hand Presence Physics;(-0.11, 0.61, 5.48);(342.88, 2.29, 358.70)
106,6861;2;Rubber Cube;(-0.51, 0.55, 5.59);(270.02, 244.56, 0.00)
106,6861;2;Metal Cube;(-0.02, 0.55, 5.52);(0.00, 208.30, 0.00)
107,1921;1;Main Camera;(-0.12, 0.74, 5.18);(16.14, 4.77, 0.60)
107,1921;1;Right Hand Presence Physics;(0.02, 0.60, 5.49);(337.98, 18.17, 338.09)
107,1921;1;Left Hand Presence Physics;(-0.08, 0.59, 5.50);(348.76, 8.13, 62.15)
107,1921;1;Right Hand Presence Physics;(0.02, 0.60, 5.49);(337.98, 18.17, 338.09)
107,1921;1;Left Hand Presence Physics;(-0.08, 0.59, 5.50);(348.76, 8.13, 62.15)
107,1921;2;Rubber Cube;(-0.51, 0.55, 5.59);(270.00, 244.59, 0.00)
107,1921;2;Metal Cube;(-0.06, 0.76, 5.58);(3.77, 263.93, 328.93)
107,693;1;Main Camera;(-0.15, 0.76, 5.16);(4.13, 346.60, 359.18)
107,693;1;Right Hand Presence Physics;(-0.04, 0.61, 5.47);(337.53, 4.57, 355.52)
107,693;1;Left Hand Presence Physics;(-0.13, 0.61, 5.48);(349.04, 9.16, 16.39)
107,693;1;Right Hand Presence Physics;(-0.04, 0.61, 5.47);(337.53, 4.57, 355.52)
107,693;1;Left Hand Presence Physics;(-0.13, 0.61, 5.48);(349.04, 9.16, 16.39)
107,693;2;Rubber Cube;(-0.51, 0.55, 5.59);(270.00, 244.59, 0.00)
107,693;2;Metal Cube;(-0.37, 0.76, 6.00);(352.51, 252.28, 337.83)
108,1937;1;Main Camera;(-0.19, 0.75, 5.15);(7.85, 332.86, 0.85)
108,1937;1;Right Hand Presence Physics;(-0.22, 0.62, 5.47);(339.55, 344.81, 357.60)
108,1937;1;Left Hand Presence Physics;(-0.38, 0.65, 5.41);(337.50, 328.81, 11.90)
108,1937;1;Right Hand Presence Physics;(-0.22, 0.62, 5.47);(339.55, 344.81, 357.60)
108,1937;1;Left Hand Presence Physics;(-0.38, 0.65, 5.41);(337.50, 328.81, 11.90)
108,1937;2;Rubber Cube;(-0.51, 0.55, 5.59);(270.00, 244.59, 0.00)
108,1937;2;Metal Cube;(-0.48, 0.05, 6.18);(90.00, 13.09, 0.00)
108,6946;1;Main Camera;(-0.22, 0.75, 5.14);(9.31, 330.38, 1.56)
108,6946;1;Right Hand Presence Physics;(-0.37, 0.61, 5.57);(350.16, 349.92, 356.38)
108,6946;1;Left Hand Presence Physics;(-0.53, 0.61, 5.49);(354.45, 315.98, 8.30)
108,6946;1;Right Hand Presence Physics;(-0.37, 0.61, 5.57);(350.16, 349.92, 356.38)
108,6946;1;Left Hand Presence Physics;(-0.53, 0.61, 5.49);(354.45, 315.98, 8.30)
108,6946;2;Rubber Cube;(-0.51, 0.55, 5.59);(270.00, 244.59, 0.00)
108,6946;2;Metal Cube;(-0.48, 0.05, 6.18);(90.00, 13.09, 0.00)
109,1969;1;Main Camera;(-0.21, 0.75, 5.14);(7.68, 330.84, 0.23)
109,1969;1;Right Hand Presence Physics;(-0.40, 0.60, 5.57);(348.23, 340.23, 336.56)
109,1969;1;Left Hand Presence Physics;(-0.50, 0.59, 5.53);(2.97, 333.72, 54.63)
