Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0.5001375;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.01)
0.5001375;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5001375;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.01)
0.5001375;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5001375;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5001375;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.001586;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.01)
1.001586;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001586;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.01)
1.001586;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001586;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.001586;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.503219;Right Hand Presence Physics;(-0.20, 1.31, 0.24);(0.00, 303.20, 0.00)
1.503219;Left Hand Presence Physics;(-0.31, 1.31, 0.08);(0.00, 303.20, 0.00)
1.503219;Right Hand Presence Physics;(-0.20, 1.31, 0.24);(0.00, 303.20, 0.00)
1.503219;Left Hand Presence Physics;(-0.31, 1.31, 0.08);(0.00, 303.20, 0.00)
1.503219;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.503219;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.004778;Right Hand Presence Physics;(-0.14, 1.31, 0.28);(0.00, 314.80, 0.00)
2.004778;Left Hand Presence Physics;(-0.28, 1.31, 0.14);(0.00, 314.80, 0.00)
2.004778;Right Hand Presence Physics;(-0.14, 1.31, 0.28);(0.00, 314.80, 0.00)
2.004778;Left Hand Presence Physics;(-0.28, 1.31, 0.14);(0.00, 314.80, 0.00)
2.004778;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.004778;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.505902;Right Hand Presence Physics;(-0.01, 1.31, 0.32);(0.00, 340.20, 0.00)
2.505902;Left Hand Presence Physics;(-0.19, 1.31, 0.25);(0.00, 340.20, 0.00)
2.505902;Right Hand Presence Physics;(-0.01, 1.31, 0.32);(0.00, 340.20, 0.00)
2.505902;Left Hand Presence Physics;(-0.19, 1.31, 0.25);(0.00, 340.20, 0.00)
2.505902;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.505902;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.007515;Right Hand Presence Physics;(-0.03, 1.31, 0.31);(0.00, 336.00, 0.00)
3.007515;Left Hand Presence Physics;(-0.22, 1.31, 0.23);(0.00, 336.00, 0.00)
3.007515;Right Hand Presence Physics;(-0.03, 1.31, 0.31);(0.00, 336.00, 0.00)
3.007515;Left Hand Presence Physics;(-0.22, 1.31, 0.23);(0.00, 336.00, 0.00)
