Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5007376;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5007376;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5007376;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5007376;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5007376;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5007376;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.001393;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001393;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.001393;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001393;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.001393;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.001393;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.502314;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.502314;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.502314;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.502314;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.502314;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.502314;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.003766;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.003766;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2.003766;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.003766;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2.003766;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.003766;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.511266;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.511266;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2.511266;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.511266;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2.511266;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.511266;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.012481;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.012481;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
3.012481;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.012481;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
