Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0.5001286;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5001286;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5001286;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5001286;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5001286;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5001286;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.000588;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.000588;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.000588;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.000588;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.000588;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.000588;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.500903;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.500903;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.500903;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.500903;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.500903;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.500903;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.002481;Right Hand Presence Physics;(-0.32, 1.31, 0.03);(0.00, 257.40, 0.00)
2.002481;Left Hand Presence Physics;(-0.27, 1.31, -0.16);(0.00, 257.40, 0.00)
2.002481;Right Hand Presence Physics;(-0.32, 1.31, 0.03);(0.00, 257.40, 0.00)
2.002481;Left Hand Presence Physics;(-0.27, 1.31, -0.16);(0.00, 257.40, 0.00)
2.002481;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.002481;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.502535;Right Hand Presence Physics;(-0.32, 1.31, 0.01);(0.00, 253.80, 0.00)
2.502535;Left Hand Presence Physics;(-0.26, 1.31, -0.18);(0.00, 253.80, 0.00)
2.502535;Right Hand Presence Physics;(-0.32, 1.31, 0.01);(0.00, 253.80, 0.00)
2.502535;Left Hand Presence Physics;(-0.26, 1.31, -0.18);(0.00, 253.80, 0.00)
2.502535;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.502535;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.00329;Right Hand Presence Physics;(-0.32, 1.31, 0.01);(0.00, 254.00, 0.00)
3.00329;Left Hand Presence Physics;(-0.26, 1.31, -0.18);(0.00, 254.00, 0.00)
3.00329;Right Hand Presence Physics;(-0.32, 1.31, 0.01);(0.00, 254.00, 0.00)
3.00329;Left Hand Presence Physics;(-0.26, 1.31, -0.18);(0.00, 254.00, 0.00)
