Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5029085;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5029085;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5029085;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5029085;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5029085;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5029085;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.003883;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.003883;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.003883;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.003883;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.003883;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.003883;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.505074;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.505074;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.505074;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.505074;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.505074;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.505074;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.005915;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.005915;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2.005915;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.005915;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2.005915;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.005915;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.507254;Right Hand Presence Physics;(0.07, 1.31, 0.31);(0.00, 355.20, 0.00)
2.507254;Left Hand Presence Physics;(-0.12, 1.31, 0.29);(0.00, 355.20, 0.00)
2.507254;Right Hand Presence Physics;(0.07, 1.31, 0.31);(0.00, 355.20, 0.00)
2.507254;Left Hand Presence Physics;(-0.12, 1.31, 0.29);(0.00, 355.20, 0.00)
2.507254;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.507254;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.007322;Right Hand Presence Physics;(-0.11, 1.31, 0.30);(0.00, 320.80, 0.00)
3.007322;Left Hand Presence Physics;(-0.27, 1.31, 0.17);(0.00, 320.80, 0.00)
3.007322;Right Hand Presence Physics;(-0.11, 1.31, 0.30);(0.00, 320.80, 0.00)
3.007322;Left Hand Presence Physics;(-0.27, 1.31, 0.17);(0.00, 320.80, 0.00)
