Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
0,5014541;Right Hand Presence Physics;(0.06, 0.23, -0.05);(1.21, 1.36, 352.76)
0,5014541;Left Hand Presence Physics;(-0.08, 1.29, -0.10);(17.83, 39.17, 308.63)
0,5014541;Right Hand Presence Physics;(0.06, 0.23, -0.05);(1.21, 1.36, 352.76)
0,5014541;Left Hand Presence Physics;(-0.08, 1.29, -0.10);(17.83, 39.17, 308.63)
0,5014541;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5014541;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
0,5014541;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,206351;Right Hand Presence Physics;(-0.01, 1.40, 0.04);(357.58, 47.37, 314.54)
1,206351;Left Hand Presence Physics;(-0.02, 1.36, -0.02);(50.69, 275.49, 103.45)
1,206351;Right Hand Presence Physics;(-0.01, 1.40, 0.04);(357.58, 47.37, 314.54)
1,206351;Left Hand Presence Physics;(-0.02, 1.36, -0.02);(50.69, 275.49, 103.45)
1,206351;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,206351;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,206351;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,70657;Right Hand Presence Physics;(0.15, 1.20, 0.27);(328.17, 337.74, 20.82)
1,70657;Left Hand Presence Physics;(0.20, 1.17, 0.29);(41.81, 89.59, 276.89)
1,70657;Right Hand Presence Physics;(0.15, 1.20, 0.27);(328.17, 337.74, 20.82)
1,70657;Left Hand Presence Physics;(0.20, 1.17, 0.29);(41.81, 89.59, 276.89)
1,70657;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,70657;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,70657;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,20838;Right Hand Presence Physics;(0.45, 1.19, 0.28);(335.85, 34.51, 312.81)
2,20838;Left Hand Presence Physics;(0.02, 1.16, 0.44);(333.30, 20.83, 52.72)
2,20838;Right Hand Presence Physics;(0.45, 1.19, 0.28);(335.85, 34.51, 312.81)
2,20838;Left Hand Presence Physics;(0.02, 1.16, 0.44);(333.30, 20.83, 52.72)
2,20838;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,20838;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,20838;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,709937;Right Hand Presence Physics;(0.28, 1.14, 0.35);(340.43, 3.42, 345.23)
2,709937;Left Hand Presence Physics;(0.01, 1.18, 0.44);(329.69, 19.22, 26.20)
2,709937;Right Hand Presence Physics;(0.28, 1.14, 0.35);(340.43, 3.42, 345.23)
2,709937;Left Hand Presence Physics;(0.01, 1.18, 0.44);(329.69, 19.22, 26.20)
2,709937;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,709937;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,709937;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
3,211755;Right Hand Presence Physics;(0.34, 1.15, 0.94);(337.17, 5.73, 346.64)
3,211755;Left Hand Presence Physics;(0.08, 1.18, 1.02);(323.43, 21.64, 22.94)
3,211755;Right Hand Presence Physics;(0.34, 1.15, 0.94);(337.17, 5.73, 346.64)
3,211755;Left Hand Presence Physics;(0.08, 1.18, 1.02);(323.43, 21.64, 22.94)
3,211755;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,211755;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,211755;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
