Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5040477;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5040477;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5040477;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5040477;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5040477;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5040477;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.005099;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.005099;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.005099;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.005099;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.005099;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.005099;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.506383;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.506383;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.506383;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.506383;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.506383;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.506383;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.007401;Right Hand Presence Physics;(-0.28, 1.31, -0.15);(0.00, 223.20, 0.00)
2.007401;Left Hand Presence Physics;(-0.13, 1.31, -0.29);(0.00, 223.20, 0.00)
2.007401;Right Hand Presence Physics;(-0.28, 1.31, -0.15);(0.00, 223.20, 0.00)
2.007401;Left Hand Presence Physics;(-0.13, 1.31, -0.29);(0.00, 223.20, 0.00)
2.007401;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.007401;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.508765;Right Hand Presence Physics;(-0.32, 1.31, 0.01);(0.00, 252.80, 0.00)
2.508765;Left Hand Presence Physics;(-0.26, 1.31, -0.18);(0.00, 252.80, 0.00)
2.508765;Right Hand Presence Physics;(-0.32, 1.31, 0.01);(0.00, 252.80, 0.00)
2.508765;Left Hand Presence Physics;(-0.26, 1.31, -0.18);(0.00, 252.80, 0.00)
2.508765;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.508765;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.008937;Right Hand Presence Physics;(-0.37, 1.31, -0.17);(0.00, 230.40, 0.00)
3.008937;Left Hand Presence Physics;(-0.25, 1.31, -0.32);(0.00, 230.40, 0.00)
3.008937;Right Hand Presence Physics;(-0.37, 1.31, -0.17);(0.00, 230.40, 0.00)
3.008937;Left Hand Presence Physics;(-0.25, 1.31, -0.32);(0.00, 230.40, 0.00)
