Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5043857;Right Hand Presence Physics;(0.34, 1.07, -0.39);(10.04, 287.44, 52.81)
0,5043857;Left Hand Presence Physics;(-0.27, 1.16, -0.31);(8.09, 27.60, 324.61)
0,5043857;Right Hand Presence Physics;(0.34, 1.07, -0.39);(10.04, 287.44, 52.81)
0,5043857;Left Hand Presence Physics;(-0.27, 1.16, -0.31);(8.09, 27.60, 324.61)
0,5043857;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5043857;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,180305;Right Hand Presence Physics;(-0.03, 1.38, 0.00);(2.50, 13.28, 304.03)
1,180305;Left Hand Presence Physics;(0.01, 1.37, -0.02);(352.85, 287.30, 178.92)
1,180305;Right Hand Presence Physics;(-0.03, 1.38, 0.00);(2.50, 13.28, 304.03)
1,180305;Left Hand Presence Physics;(0.01, 1.37, -0.02);(352.85, 287.30, 178.92)
1,180305;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,180305;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,693541;Right Hand Presence Physics;(-0.27, 1.11, -0.21);(329.79, 297.08, 325.85)
1,693541;Left Hand Presence Physics;(-0.39, 1.08, -0.43);(329.32, 304.36, 17.31)
1,693541;Right Hand Presence Physics;(-0.27, 1.11, -0.21);(329.79, 297.08, 325.85)
