Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5068794;Right Hand Presence Physics;(0.34, 1.07, -0.39);(10.04, 287.44, 52.81)
0,5068794;Left Hand Presence Physics;(-0.27, 1.16, -0.31);(8.10, 27.62, 324.59)
0,5068794;Right Hand Presence Physics;(0.34, 1.07, -0.39);(10.04, 287.44, 52.81)
0,5068794;Left Hand Presence Physics;(-0.27, 1.16, -0.31);(8.10, 27.62, 324.59)
0,5068794;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5068794;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,17085;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(334.84, 18.79, 333.23)
1,17085;Left Hand Presence Physics;(0.05, 1.38, -0.03);(358.16, 26.35, 25.29)
1,17085;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(334.84, 18.79, 333.23)
1,17085;Left Hand Presence Physics;(0.05, 1.38, -0.03);(358.16, 26.35, 25.29)
1,17085;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,17085;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,68976;Right Hand Presence Physics;(-0.27, 1.11, -0.23);(331.22, 298.80, 337.95)
1,68976;Left Hand Presence Physics;(-0.39, 1.09, -0.45);(332.49, 308.60, 25.15)
1,68976;Right Hand Presence Physics;(-0.27, 1.11, -0.23);(331.22, 298.80, 337.95)
1,68976;Left Hand Presence Physics;(-0.39, 1.09, -0.45);(332.49, 308.60, 25.15)
1,68976;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,68976;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,195798;Right Hand Presence Physics;(-0.26, 1.12, -0.20);(332.02, 303.02, 325.77)
2,195798;Left Hand Presence Physics;(-0.38, 1.08, -0.44);(333.60, 311.56, 24.03)
2,195798;Right Hand Presence Physics;(-0.26, 1.12, -0.20);(332.02, 303.02, 325.77)
2,195798;Left Hand Presence Physics;(-0.38, 1.08, -0.44);(333.60, 311.56, 24.03)
2,195798;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,195798;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,699106;Right Hand Presence Physics;(0.03, 1.12, -0.15);(329.56, 348.83, 330.87)
