Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
0,5022944;Right Hand Presence Physics;(0.07, 0.25, -0.06);(1.11, 1.37, 352.43)
0,5022944;Left Hand Presence Physics;(-0.27, 1.15, -0.32);(9.10, 29.46, 322.47)
0,5022944;Right Hand Presence Physics;(0.07, 0.25, -0.06);(1.11, 1.37, 352.43)
0,5022944;Left Hand Presence Physics;(-0.27, 1.15, -0.32);(9.10, 29.46, 322.47)
0,5022944;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5022944;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
0,5022944;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,008135;Right Hand Presence Physics;(0.00, 1.39, 0.04);(1.30, 79.60, 318.01)
1,008135;Left Hand Presence Physics;(-0.03, 1.37, -0.01);(45.87, 321.67, 145.84)
1,008135;Right Hand Presence Physics;(0.00, 1.39, 0.04);(1.30, 79.60, 318.01)
1,008135;Left Hand Presence Physics;(-0.03, 1.37, -0.01);(45.87, 321.67, 145.84)
1,008135;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,008135;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,008135;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,519966;Right Hand Presence Physics;(-0.02, 1.40, 0.00);(330.43, 38.22, 317.01)
1,519966;Left Hand Presence Physics;(0.01, 1.39, 0.02);(9.10, 317.87, 69.33)
1,519966;Right Hand Presence Physics;(-0.02, 1.40, 0.00);(330.43, 38.22, 317.01)
1,519966;Left Hand Presence Physics;(0.01, 1.39, 0.02);(9.10, 317.87, 69.33)
1,519966;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,519966;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,519966;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,031464;Right Hand Presence Physics;(-0.05, 1.39, -0.01);(336.80, 357.79, 314.37)
2,031464;Left Hand Presence Physics;(0.07, 1.40, 0.00);(335.48, 11.83, 18.16)
2,031464;Right Hand Presence Physics;(-0.05, 1.39, -0.01);(336.80, 357.79, 314.37)
2,031464;Left Hand Presence Physics;(0.07, 1.40, 0.00);(335.48, 11.83, 18.16)
2,031464;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,031464;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,031464;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,531468;Right Hand Presence Physics;(-0.06, 1.39, 0.03);(335.39, 23.21, 333.49)
2,531468;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.85, 29.70, 29.64)
2,531468;Right Hand Presence Physics;(-0.06, 1.39, 0.03);(335.39, 23.21, 333.49)
