Timestamp;Name;Position;Rotation;Grabbed
5.506689;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
5.506689;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
5.506689;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
5.506689;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5.506689;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6.007148;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.007148;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.007148;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.007148;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.007148;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6.007148;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6.507882;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.507882;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.507882;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.507882;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.507882;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6.507882;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
7.008958;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.008958;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.008958;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.008958;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.008958;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7.008958;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
7.510176;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.510176;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.510176;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.510176;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
7.510176;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7.510176;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
8.010217;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.010217;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.010217;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.010217;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.010217;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
8.010217;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
8.511054;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.511054;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.511054;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.511054;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
8.511054;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
8.511054;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
9.01127;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.01127;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.01127;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.01127;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.01127;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
9.01127;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
9.512762;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.512762;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.512762;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.512762;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
9.512762;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
9.512762;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
10.01294;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.01294;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.01294;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.01294;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.01294;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
10.01294;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
10.51337;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.51337;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.51337;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.51337;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
10.51337;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
10.51337;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
11.01386;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.01386;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.01386;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.01386;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.01386;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
11.01386;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
11.51527;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.51527;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.51527;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.51527;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
11.51527;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
11.51527;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
12.01537;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
