Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
0,5057371;Right Hand Presence Physics;(0.06, 0.23, -0.05);(1.21, 1.36, 352.76)
0,5057371;Left Hand Presence Physics;(-0.04, 0.21, -0.03);(359.76, 357.60, 2.01)
0,5057371;Right Hand Presence Physics;(0.06, 0.23, -0.05);(1.21, 1.36, 352.76)
0,5057371;Left Hand Presence Physics;(-0.04, 0.21, -0.03);(359.76, 357.60, 2.01)
0,5057371;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5057371;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
0,5057371;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,007367;Right Hand Presence Physics;(-0.01, 1.38, 0.06);(347.06, 86.83, 312.67)
1,007367;Left Hand Presence Physics;(-0.03, 1.41, -0.05);(26.56, 261.66, 133.36)
1,007367;Right Hand Presence Physics;(-0.01, 1.38, 0.06);(347.06, 86.83, 312.67)
1,007367;Left Hand Presence Physics;(-0.03, 1.41, -0.05);(26.56, 261.66, 133.36)
1,007367;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,007367;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,007367;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,508011;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(337.02, 15.35, 333.08)
1,508011;Left Hand Presence Physics;(0.05, 1.38, -0.02);(356.66, 20.22, 25.71)
1,508011;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(337.02, 15.35, 333.08)
1,508011;Left Hand Presence Physics;(0.05, 1.38, -0.02);(356.66, 20.22, 25.71)
1,508011;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,508011;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,508011;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,009392;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.24, 17.95, 332.80)
2,009392;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.41, 22.92, 26.27)
2,009392;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.24, 17.95, 332.80)
2,009392;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.41, 22.92, 26.27)
2,009392;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,009392;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,009392;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,510298;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
2,510298;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
2,510298;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
2,510298;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
2,510298;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,510298;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,510298;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
3,011482;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
3,011482;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
3,011482;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
3,011482;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
3,011482;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,011482;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,011482;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
3,512907;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
3,512907;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
3,512907;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
3,512907;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
3,512907;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,512907;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,512907;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
4,014111;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
4,014111;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
4,014111;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
4,014111;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
4,014111;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,014111;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,014111;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
4,515196;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
4,515196;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
4,515196;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
4,515196;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
4,515196;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,515196;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,515196;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
5,016496;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
5,016496;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
5,016496;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
5,016496;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
5,016496;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,016496;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,016496;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
5,517444;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
5,517444;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
5,517444;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
5,517444;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
5,517444;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,517444;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,517444;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
6,018739;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
6,018739;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
6,018739;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.02, 17.68, 333.04)
6,018739;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.39, 22.37, 25.63)
6,018739;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,018739;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,018739;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
6,520213;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.24, 17.97, 332.80)
6,520213;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.41, 22.94, 26.27)
6,520213;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.24, 17.97, 332.80)
6,520213;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.41, 22.94, 26.27)
6,520213;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,520213;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,520213;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
7,026063;Right Hand Presence Physics;(-0.05, 1.37, 0.09);(355.02, 32.45, 330.21)
7,026063;Left Hand Presence Physics;(0.04, 1.39, 0.02);(357.92, 23.07, 21.51)
7,026063;Right Hand Presence Physics;(-0.05, 1.37, 0.09);(355.02, 32.45, 330.21)
7,026063;Left Hand Presence Physics;(0.04, 1.39, 0.02);(357.92, 23.07, 21.51)
7,026063;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7,026063;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
7,026063;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
7,530477;Right Hand Presence Physics;(0.11, 1.16, 0.35);(342.46, 354.36, 341.40)
7,530477;Left Hand Presence Physics;(-0.16, 1.15, 0.32);(325.72, 351.38, 7.53)
7,530477;Right Hand Presence Physics;(0.11, 1.16, 0.35);(342.46, 354.36, 341.40)
7,530477;Left Hand Presence Physics;(-0.16, 1.15, 0.32);(325.72, 351.38, 7.53)
7,530477;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7,530477;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
7,530477;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
8,032053;Right Hand Presence Physics;(0.19, 1.15, 0.40);(348.77, 358.17, 306.45)
8,032053;Left Hand Presence Physics;(-0.16, 1.14, 0.34);(336.50, 3.90, 31.12)
8,032053;Right Hand Presence Physics;(0.19, 1.15, 0.40);(348.77, 358.17, 306.45)
8,032053;Left Hand Presence Physics;(-0.16, 1.14, 0.34);(336.50, 3.90, 31.12)
8,032053;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
8,032053;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
8,032053;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
8,533714;Right Hand Presence Physics;(-0.05, 1.15, 1.14);(343.05, 350.37, 344.79)
8,533714;Left Hand Presence Physics;(-0.32, 1.14, 1.10);(335.59, 359.57, 19.84)
8,533714;Right Hand Presence Physics;(-0.05, 1.15, 1.14);(343.05, 350.37, 344.79)
8,533714;Left Hand Presence Physics;(-0.32, 1.14, 1.10);(335.59, 359.57, 19.84)
8,533714;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
8,533714;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
8,533714;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
9,03524;Right Hand Presence Physics;(0.33, 1.15, 2.30);(342.66, 350.85, 344.83)
9,03524;Left Hand Presence Physics;(0.06, 1.14, 2.26);(335.33, 359.15, 19.28)
9,03524;Right Hand Presence Physics;(0.33, 1.15, 2.30);(342.66, 350.85, 344.83)
9,03524;Left Hand Presence Physics;(0.06, 1.14, 2.26);(335.33, 359.15, 19.28)
9,03524;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
9,03524;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
9,03524;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
9,536652;Right Hand Presence Physics;(0.51, 1.15, 3.53);(342.68, 353.48, 342.75)
