Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5094851;Right Hand Presence Physics;(0.06, 0.23, -0.05);(1.21, 1.36, 352.77)
0,5094851;Left Hand Presence Physics;(-0.07, 1.29, -0.10);(14.79, 35.34, 313.05)
0,5094851;Right Hand Presence Physics;(0.06, 0.23, -0.05);(1.21, 1.36, 352.77)
0,5094851;Left Hand Presence Physics;(-0.07, 1.29, -0.10);(14.79, 35.34, 313.05)
0,5094851;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5094851;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,026157;Right Hand Presence Physics;(0.07, 1.15, 0.38);(341.60, 347.91, 332.00)
1,026157;Left Hand Presence Physics;(-0.14, 1.18, 0.34);(328.83, 12.77, 335.22)
1,026157;Right Hand Presence Physics;(0.07, 1.15, 0.38);(341.60, 347.91, 332.00)
1,026157;Left Hand Presence Physics;(-0.14, 1.18, 0.34);(328.83, 12.77, 335.22)
1,026157;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,026157;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,531736;Right Hand Presence Physics;(0.07, 1.15, 0.38);(341.76, 347.48, 334.12)
1,531736;Left Hand Presence Physics;(-0.14, 1.15, 0.35);(331.05, 1.72, 9.97)
1,531736;Right Hand Presence Physics;(0.07, 1.15, 0.38);(341.76, 347.48, 334.12)
1,531736;Left Hand Presence Physics;(-0.14, 1.15, 0.35);(331.05, 1.72, 9.97)
1,531736;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,531736;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,036799;Right Hand Presence Physics;(0.13, 1.20, 0.40);(330.23, 355.60, 322.23)
2,036799;Left Hand Presence Physics;(-0.14, 1.15, 0.38);(326.94, 3.12, 5.41)
2,036799;Right Hand Presence Physics;(0.13, 1.20, 0.40);(330.23, 355.60, 322.23)
2,036799;Left Hand Presence Physics;(-0.14, 1.15, 0.38);(326.94, 3.12, 5.41)
2,036799;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,036799;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,553468;Right Hand Presence Physics;(0.23, 1.18, 1.69);(335.54, 353.38, 326.21)
2,553468;Left Hand Presence Physics;(-0.02, 1.15, 1.66);(327.51, 2.45, 5.39)
2,553468;Right Hand Presence Physics;(0.23, 1.18, 1.69);(335.54, 353.38, 326.21)
2,553468;Left Hand Presence Physics;(-0.02, 1.15, 1.66);(327.51, 2.45, 5.39)
2,553468;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,553468;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,062798;Right Hand Presence Physics;(0.31, 1.17, 1.94);(335.21, 351.48, 336.39)
3,062798;Left Hand Presence Physics;(0.08, 1.15, 1.91);(329.14, 1.52, 8.38)
3,062798;Right Hand Presence Physics;(0.31, 1.17, 1.94);(335.21, 351.48, 336.39)
3,062798;Left Hand Presence Physics;(0.08, 1.15, 1.91);(329.14, 1.52, 8.38)
