Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0.500837;Right Hand Presence Physics;(0.06, 0.23, -0.05);(1.20, 1.38, 352.70)
0.500837;Left Hand Presence Physics;(-0.04, 0.21, -0.03);(359.76, 357.60, 2.00)
0.500837;Right Hand Presence Physics;(0.06, 0.23, -0.05);(1.20, 1.38, 352.70)
0.500837;Left Hand Presence Physics;(-0.04, 0.21, -0.03);(359.76, 357.60, 2.00)
0.500837;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.001745;Right Hand Presence Physics;(-0.04, 1.38, 0.03);(4.84, 2.48, 315.48)
1.001745;Left Hand Presence Physics;(-0.02, 1.41, -0.01);(0.91, 240.30, 104.74)
1.001745;Right Hand Presence Physics;(-0.04, 1.38, 0.03);(4.84, 2.48, 315.48)
1.001745;Left Hand Presence Physics;(-0.02, 1.41, -0.01);(0.91, 240.30, 104.74)
1.001745;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.502651;Right Hand Presence Physics;(-0.02, 1.38, 0.02);(6.37, 349.91, 304.84)
1.502651;Left Hand Presence Physics;(0.00, 1.43, 0.03);(331.78, 260.75, 60.02)
1.502651;Right Hand Presence Physics;(-0.02, 1.38, 0.02);(6.37, 349.91, 304.84)
1.502651;Left Hand Presence Physics;(0.00, 1.43, 0.03);(331.78, 260.75, 60.02)
1.502651;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.00266;Right Hand Presence Physics;(-0.06, 1.39, 0.01);(336.25, 13.88, 332.09)
2.00266;Left Hand Presence Physics;(0.05, 1.38, -0.02);(356.44, 19.42, 28.00)
2.00266;Right Hand Presence Physics;(-0.06, 1.39, 0.01);(336.25, 13.88, 332.09)
2.00266;Left Hand Presence Physics;(0.05, 1.38, -0.02);(356.44, 19.42, 28.00)
2.00266;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.502942;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.74, 22.40, 332.14)
2.502942;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.82, 29.08, 31.02)
2.502942;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.74, 22.40, 332.14)
2.502942;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.82, 29.08, 31.02)
2.502942;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.003059;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.05, 22.02, 332.74)
3.003059;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.71, 28.55, 31.58)
3.003059;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.05, 22.02, 332.74)
3.003059;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.71, 28.55, 31.58)
3.003059;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.503559;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(334.69, 22.43, 332.24)
3.503559;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.99, 28.83, 29.98)
3.503559;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(334.69, 22.43, 332.24)
3.503559;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.99, 28.83, 29.98)
3.503559;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
