Timestamp;Type;Name;Position;Rotation
19,67459;1;Right Controller;(0.58, 0.35, 0.41);(356.58, 349.92, 355.43)
19,67459;1;Left Controller;(0.33, 0.37, 0.29);(351.65, 336.94, 7.17)
19,67459;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
20,17636;1;Main Camera;(0.33, 0.69, 0.30);(2.78, 351.20, 0.88)
20,17636;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
20,17636;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
20,17636;1;Right Controller;(0.42, 0.35, 0.57);(355.88, 354.85, 352.63)
20,17636;1;Left Controller;(0.15, 0.37, 0.45);(349.26, 335.18, 3.01)
20,17636;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
20,67713;1;Main Camera;(0.33, 0.69, 0.30);(1.64, 352.13, 1.11)
20,67713;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
20,67713;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
20,67713;1;Right Controller;(0.42, 0.37, 0.56);(349.70, 355.08, 352.84)
20,67713;1;Left Controller;(0.15, 0.37, 0.45);(349.09, 335.63, 2.80)
20,67713;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
21,17902;1;Main Camera;(0.33, 0.69, 0.30);(1.23, 351.82, 1.18)
21,17902;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
21,17902;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
21,17902;1;Right Controller;(0.42, 0.34, 0.58);(2.96, 355.94, 350.96)
21,17902;1;Left Controller;(0.17, 0.35, 0.47);(6.53, 343.92, 6.80)
21,17902;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
21,68053;1;Main Camera;(0.34, 0.69, 0.30);(2.17, 351.84, 1.04)
21,68053;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
21,68053;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
21,68053;1;Right Controller;(0.42, 0.35, 0.57);(359.74, 355.61, 352.29)
21,68053;1;Left Controller;(0.23, 0.41, 0.51);(353.01, 355.94, 3.47)
21,68053;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
22,18086;1;Main Camera;(0.34, 0.69, 0.30);(2.52, 351.26, 0.67)
