Timestamp;Name;Position;Rotation;Grabbed
59,0369;Right Hand Presence Physics;(0.18, 0.53, 5.25);(323.82, 358.62, 331.39)
59,0369;Left Hand Presence Physics;(-0.06, 0.49, 5.28);(335.61, 1.03, 38.93)
59,0369;Right Hand Presence Physics;(0.18, 0.53, 5.25);(323.82, 358.62, 331.39)
59,0369;Left Hand Presence Physics;(-0.06, 0.49, 5.28);(335.61, 1.03, 38.93)
59,0369;Rubber Cube;(-0.21, 0.55, 5.60);(270.00, 320.19, 0.00);False
59,0369;Metal Cube;(0.17, 0.55, 5.60);(270.00, 347.65, 0.00);False
59,534;Right Hand Presence Physics;(0.19, 0.52, 5.26);(329.13, 0.02, 331.63)
59,534;Left Hand Presence Physics;(-0.06, 0.51, 5.29);(333.92, 358.87, 34.03)
59,534;Right Hand Presence Physics;(0.19, 0.52, 5.26);(329.13, 0.02, 331.63)
59,534;Left Hand Presence Physics;(-0.06, 0.51, 5.29);(333.92, 358.87, 34.03)
59,534;Rubber Cube;(-0.21, 0.55, 5.60);(270.00, 320.19, 0.00);False
59,534;Metal Cube;(0.17, 0.55, 5.60);(270.00, 347.65, 0.00);False
60,03553;Right Hand Presence Physics;(0.25, 0.59, 5.36);(329.78, 7.01, 353.30)
60,03553;Left Hand Presence Physics;(0.02, 0.62, 5.40);(331.09, 3.59, 11.03)
60,03553;Right Hand Presence Physics;(0.25, 0.59, 5.36);(329.78, 7.01, 353.30)
60,03553;Left Hand Presence Physics;(0.02, 0.62, 5.40);(331.09, 3.59, 11.03)
60,03553;Rubber Cube;(-0.21, 0.55, 5.60);(270.00, 320.19, 0.00);False
60,03553;Metal Cube;(0.17, 0.55, 5.60);(270.00, 347.65, 0.00);False
60,53786;Right Hand Presence Physics;(0.23, 0.59, 5.47);(334.16, 5.07, 1.60)
60,53786;Left Hand Presence Physics;(0.08, 0.63, 5.57);(345.22, 8.09, 3.93)
60,53786;Right Hand Presence Physics;(0.23, 0.59, 5.47);(334.16, 5.07, 1.60)
60,53786;Left Hand Presence Physics;(0.08, 0.63, 5.57);(345.22, 8.09, 3.93)
60,53786;Rubber Cube;(-0.21, 0.55, 5.60);(270.00, 320.19, 0.00);False
60,53786;Metal Cube;(0.17, 0.55, 5.60);(270.00, 347.65, 0.00);False
61,041;Right Hand Presence Physics;(0.24, 0.59, 5.51);(331.84, 3.85, 0.54)
61,041;Left Hand Presence Physics;(0.11, 0.61, 5.61);(349.73, 15.57, 2.66)
61,041;Right Hand Presence Physics;(0.24, 0.59, 5.51);(331.84, 3.85, 0.54)
61,041;Left Hand Presence Physics;(0.11, 0.61, 5.61);(349.73, 15.57, 2.66)
61,041;Rubber Cube;(-0.21, 0.55, 5.60);(270.00, 320.19, 0.00);False
61,041;Metal Cube;(0.17, 0.55, 5.60);(270.00, 347.65, 0.00);False
61,58572;Right Hand Presence Physics;(0.22, 0.59, 5.52);(348.84, 10.02, 304.45)
61,58572;Left Hand Presence Physics;(0.08, 0.63, 5.59);(338.51, 355.47, 1.65)
61,58572;Right Hand Presence Physics;(0.22, 0.59, 5.52);(348.84, 10.02, 304.45)
61,58572;Left Hand Presence Physics;(0.08, 0.63, 5.59);(338.51, 355.47, 1.65)
61,58572;Rubber Cube;(-0.21, 0.55, 5.60);(270.00, 320.19, 0.00);False
61,58572;Metal Cube;(0.12, 0.57, 5.56);(292.85, 88.78, 270.00);False
62,09158;Right Hand Presence Physics;(0.19, 0.59, 5.52);(348.63, 13.77, 305.61)
62,09158;Left Hand Presence Physics;(0.10, 0.66, 5.55);(323.70, 348.15, 333.12)
62,09158;Right Hand Presence Physics;(0.19, 0.59, 5.52);(348.63, 13.77, 305.61)
62,09158;Left Hand Presence Physics;(0.10, 0.66, 5.55);(323.70, 348.15, 333.12)
62,09158;Rubber Cube;(-0.21, 0.55, 5.60);(270.00, 320.19, 0.00);False
62,09158;Metal Cube;(0.10, 0.57, 5.55);(315.11, 54.40, 270.47);False
62,60073;Right Hand Presence Physics;(0.18, 0.60, 5.52);(338.63, 15.46, 352.46)
62,60073;Left Hand Presence Physics;(0.13, 0.64, 5.57);(330.84, 16.26, 317.45)
62,60073;Right Hand Presence Physics;(0.18, 0.60, 5.52);(338.63, 15.46, 352.46)
62,60073;Left Hand Presence Physics;(0.13, 0.64, 5.57);(330.84, 16.26, 317.45)
62,60073;Rubber Cube;(-0.21, 0.55, 5.60);(270.00, 320.19, 0.00);False
62,60073;Metal Cube;(0.13, 0.56, 5.57);(343.79, 57.17, 273.15);False
63,11721;Right Hand Presence Physics;(0.18, 0.61, 5.51);(340.44, 10.44, 349.11)
63,11721;Left Hand Presence Physics;(0.12, 0.65, 5.56);(333.60, 14.68, 326.39)
63,11721;Right Hand Presence Physics;(0.18, 0.61, 5.51);(340.44, 10.44, 349.11)
63,11721;Left Hand Presence Physics;(0.12, 0.65, 5.56);(333.60, 14.68, 326.39)
63,11721;Rubber Cube;(-0.21, 0.55, 5.60);(270.00, 320.19, 0.00);False
63,11721;Metal Cube;(0.12, 0.57, 5.56);(332.84, 58.93, 270.00);False
63,62247;Right Hand Presence Physics;(0.16, 0.60, 5.51);(343.75, 8.42, 323.68)
63,62247;Left Hand Presence Physics;(0.07, 0.65, 5.56);(346.80, 0.52, 351.07)
63,62247;Right Hand Presence Physics;(0.16, 0.60, 5.51);(343.75, 8.42, 323.68)
63,62247;Left Hand Presence Physics;(0.07, 0.65, 5.56);(346.80, 0.52, 351.07)
63,62247;Rubber Cube;(-0.21, 0.55, 5.60);(270.00, 320.19, 0.00);False
63,62247;Metal Cube;(0.10, 0.59, 5.55);(12.25, 67.76, 273.04);False
64,12374;Right Hand Presence Physics;(0.15, 0.60, 5.52);(345.40, 0.33, 324.13)
64,12374;Left Hand Presence Physics;(0.07, 0.62, 5.56);(351.81, 18.60, 7.45)
64,12374;Right Hand Presence Physics;(0.15, 0.60, 5.52);(345.40, 0.33, 324.13)
64,12374;Left Hand Presence Physics;(0.07, 0.62, 5.56);(351.81, 18.60, 7.45)
64,12374;Rubber Cube;(-0.21, 0.55, 5.60);(270.00, 320.19, 0.00);False
64,12374;Metal Cube;(0.19, 0.59, 5.73);(316.25, 119.43, 145.99);False
64,62354;Right Hand Presence Physics;(0.17, 0.60, 5.50);(341.30, 3.62, 320.67)
64,62354;Left Hand Presence Physics;(0.07, 0.61, 5.56);(352.43, 17.95, 6.14)
64,62354;Right Hand Presence Physics;(0.17, 0.60, 5.50);(341.30, 3.62, 320.67)
64,62354;Left Hand Presence Physics;(0.07, 0.61, 5.56);(352.43, 17.95, 6.14)
64,62354;Rubber Cube;(-0.21, 0.55, 5.60);(270.00, 320.19, 0.00);False
64,62354;Metal Cube;(0.14, 0.55, 5.74);(270.00, 269.96, 0.00);False
65,12924;Right Hand Presence Physics;(0.21, 0.61, 5.50);(339.87, 9.35, 349.02)
65,12924;Left Hand Presence Physics;(0.07, 0.63, 5.55);(346.13, 9.94, 3.54)
65,12924;Right Hand Presence Physics;(0.21, 0.61, 5.50);(339.87, 9.35, 349.02)
