Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0.5006423;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5006423;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5006423;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5006423;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5006423;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5006423;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.001187;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001187;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001187;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001187;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001187;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.001187;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.501211;Right Hand Presence Physics;(0.12, 1.31, 0.29);(0.00, 4.20, 0.00)
1.501211;Left Hand Presence Physics;(-0.08, 1.31, 0.31);(0.00, 4.20, 0.00)
1.501211;Right Hand Presence Physics;(0.12, 1.31, 0.29);(0.00, 4.20, 0.00)
1.501211;Left Hand Presence Physics;(-0.08, 1.31, 0.31);(0.00, 4.20, 0.00)
1.501211;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.501211;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.001814;Right Hand Presence Physics;(0.29, 1.31, 0.12);(0.00, 49.20, 0.00)
2.001814;Left Hand Presence Physics;(0.16, 1.31, 0.27);(0.00, 49.20, 0.00)
2.001814;Right Hand Presence Physics;(0.29, 1.31, 0.12);(0.00, 49.20, 0.00)
2.001814;Left Hand Presence Physics;(0.16, 1.31, 0.27);(0.00, 49.20, 0.00)
2.001814;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.001814;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.502518;Right Hand Presence Physics;(0.26, 1.31, 0.18);(0.00, 36.00, 0.00)
2.502518;Left Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 36.00, 0.00)
2.502518;Right Hand Presence Physics;(0.26, 1.31, 0.18);(0.00, 36.00, 0.00)
2.502518;Left Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 36.00, 0.00)
2.502518;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.502518;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.004368;Right Hand Presence Physics;(0.25, 1.31, 0.64);(0.00, 10.80, 0.00)
3.004368;Left Hand Presence Physics;(0.05, 1.31, 0.68);(0.00, 10.80, 0.00)
3.004368;Right Hand Presence Physics;(0.25, 1.31, 0.64);(0.00, 10.80, 0.00)
3.004368;Left Hand Presence Physics;(0.05, 1.31, 0.68);(0.00, 10.80, 0.00)
