Timestamp;Name;Position;Rotation;Grabbed
8,472081;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
8,472081;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
8,472081;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
8,472081;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
8,472081;Rubber Cube;(-0.21, 1.27, 5.60);(0.00, 0.00, 0.00);False
8,472081;Metal Cube;(0.17, 1.27, 5.60);(0.00, 0.00, 0.00);False
11,54196;Right Hand Presence Physics;(0.01, 0.08, 0.00);(357.90, 346.99, 279.70)
11,54196;Left Hand Presence Physics;(-0.02, 0.07, 0.00);(335.08, 344.03, 333.11)
11,54196;Right Hand Presence Physics;(0.01, 0.08, 0.00);(357.90, 346.99, 279.70)
11,54196;Left Hand Presence Physics;(-0.02, 0.07, 0.00);(335.08, 344.03, 333.11)
11,54196;Rubber Cube;(-0.21, 0.57, 5.60);(359.99, 0.00, 0.00);False
11,54196;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
12,22385;Right Hand Presence Physics;(0.01, 0.08, 0.00);(357.90, 346.99, 279.70)
12,22385;Left Hand Presence Physics;(-0.02, 0.07, 0.00);(335.08, 344.03, 333.11)
12,22385;Right Hand Presence Physics;(0.01, 0.08, 0.00);(357.90, 346.99, 279.70)
12,22385;Left Hand Presence Physics;(-0.02, 0.07, 0.00);(335.08, 344.03, 333.11)
12,22385;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
12,22385;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
12,65548;Right Hand Presence Physics;(0.20, 0.25, 0.18);(358.14, 357.15, 349.14)
12,65548;Left Hand Presence Physics;(-0.16, 0.27, 0.24);(338.05, 355.52, 12.63)
12,65548;Right Hand Presence Physics;(0.20, 0.25, 0.18);(358.14, 357.15, 349.14)
12,65548;Left Hand Presence Physics;(-0.16, 0.27, 0.24);(338.05, 355.52, 12.63)
12,65548;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
12,65548;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
13,15625;Right Hand Presence Physics;(0.17, 0.26, 0.17);(356.16, 351.16, 349.40)
13,15625;Left Hand Presence Physics;(-0.14, 0.25, 0.24);(350.24, 3.09, 17.50)
13,15625;Right Hand Presence Physics;(0.17, 0.26, 0.17);(356.16, 351.16, 349.40)
13,15625;Left Hand Presence Physics;(-0.14, 0.25, 0.24);(350.24, 3.09, 17.50)
13,15625;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
13,15625;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
13,66479;Right Hand Presence Physics;(0.16, 0.27, 0.16);(354.42, 351.41, 349.59)
13,66479;Left Hand Presence Physics;(-0.15, 0.24, 0.24);(350.56, 2.24, 22.48)
13,66479;Right Hand Presence Physics;(0.16, 0.27, 0.16);(354.42, 351.41, 349.59)
13,66479;Left Hand Presence Physics;(-0.15, 0.24, 0.24);(350.56, 2.24, 22.48)
13,66479;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
13,66479;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
14,16636;Right Hand Presence Physics;(0.16, 0.26, 0.17);(354.81, 355.24, 358.34)
14,16636;Left Hand Presence Physics;(-0.14, 0.23, 0.24);(352.52, 358.48, 11.83)
14,16636;Right Hand Presence Physics;(0.16, 0.26, 0.17);(354.81, 355.24, 358.34)
14,16636;Left Hand Presence Physics;(-0.14, 0.23, 0.24);(352.52, 358.48, 11.83)
14,16636;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
14,16636;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
14,66866;Right Hand Presence Physics;(0.16, 0.27, 0.17);(353.16, 354.27, 355.95)
14,66866;Left Hand Presence Physics;(-0.14, 0.23, 0.24);(351.94, 358.15, 10.32)
14,66866;Right Hand Presence Physics;(0.16, 0.27, 0.17);(353.16, 354.27, 355.95)
14,66866;Left Hand Presence Physics;(-0.14, 0.23, 0.24);(351.94, 358.15, 10.32)
14,66866;Rubber Cube;(-0.21, 1.15, 5.60);(0.00, 0.00, 0.00);False
14,66866;Metal Cube;(0.17, 1.15, 5.60);(0.00, 0.00, 0.00);False
15,17087;Right Hand Presence Physics;(0.16, 0.26, 0.17);(352.93, 353.67, 357.20)
15,17087;Left Hand Presence Physics;(-0.14, 0.24, 0.24);(350.57, 356.59, 10.97)
15,17087;Right Hand Presence Physics;(0.16, 0.26, 0.17);(352.93, 353.67, 357.20)
15,17087;Left Hand Presence Physics;(-0.14, 0.24, 0.24);(350.57, 356.59, 10.97)
15,17087;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
15,17087;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
15,67197;Right Hand Presence Physics;(0.16, 0.26, 0.17);(352.73, 353.98, 358.76)
15,67197;Left Hand Presence Physics;(-0.14, 0.24, 0.24);(350.43, 355.66, 11.89)
15,67197;Right Hand Presence Physics;(0.16, 0.26, 0.17);(352.73, 353.98, 358.76)
15,67197;Left Hand Presence Physics;(-0.14, 0.24, 0.24);(350.43, 355.66, 11.89)
15,67197;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
15,67197;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
16,17324;Right Hand Presence Physics;(0.17, 0.26, 0.16);(351.75, 354.34, 358.19)
16,17324;Left Hand Presence Physics;(-0.14, 0.25, 0.23);(344.85, 354.52, 11.84)
16,17324;Right Hand Presence Physics;(0.17, 0.26, 0.16);(351.75, 354.34, 358.19)
16,17324;Left Hand Presence Physics;(-0.14, 0.25, 0.23);(344.85, 354.52, 11.84)
16,17324;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
16,17324;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
16,67466;Right Hand Presence Physics;(0.03, 0.26, 1.21);(349.70, 351.60, 359.18)
16,67466;Left Hand Presence Physics;(-0.27, 0.25, 1.29);(343.96, 353.88, 7.24)
16,67466;Right Hand Presence Physics;(0.03, 0.26, 1.21);(349.70, 351.60, 359.18)
16,67466;Left Hand Presence Physics;(-0.27, 0.25, 1.29);(343.96, 353.88, 7.24)
16,67466;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
16,67466;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
17,18408;Right Hand Presence Physics;(0.12, 0.26, 2.46);(350.83, 350.24, 358.61)
17,18408;Left Hand Presence Physics;(-0.18, 0.25, 2.53);(344.14, 353.70, 6.22)
17,18408;Right Hand Presence Physics;(0.12, 0.26, 2.46);(350.83, 350.24, 358.61)
17,18408;Left Hand Presence Physics;(-0.18, 0.25, 2.53);(344.14, 353.70, 6.22)
17,18408;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
17,18408;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
17,69201;Right Hand Presence Physics;(0.10, 0.26, 3.74);(351.79, 350.72, 358.24)
17,69201;Left Hand Presence Physics;(-0.20, 0.24, 3.81);(345.33, 353.20, 9.11)
17,69201;Right Hand Presence Physics;(0.10, 0.26, 3.74);(351.79, 350.72, 358.24)
17,69201;Left Hand Presence Physics;(-0.20, 0.24, 3.81);(345.33, 353.20, 9.11)
17,69201;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
17,69201;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
18,19254;Right Hand Presence Physics;(0.07, 0.28, 3.75);(353.66, 348.94, 359.25)
18,19254;Left Hand Presence Physics;(-0.11, 0.28, 3.78);(345.54, 2.15, 5.44)
18,19254;Right Hand Presence Physics;(0.07, 0.28, 3.75);(353.66, 348.94, 359.25)
18,19254;Left Hand Presence Physics;(-0.11, 0.28, 3.78);(345.54, 2.15, 5.44)
18,19254;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
18,19254;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
18,69408;Right Hand Presence Physics;(0.06, 0.32, 3.76);(355.37, 343.60, 355.57)
18,69408;Left Hand Presence Physics;(-0.09, 0.35, 3.78);(350.78, 4.94, 11.84)
18,69408;Right Hand Presence Physics;(0.06, 0.32, 3.76);(355.37, 343.60, 355.57)
18,69408;Left Hand Presence Physics;(-0.09, 0.35, 3.78);(350.78, 4.94, 11.84)
18,69408;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
18,69408;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
19,19511;Right Hand Presence Physics;(0.07, 0.35, 3.75);(345.97, 346.74, 346.28)
19,19511;Left Hand Presence Physics;(-0.08, 0.34, 3.77);(347.94, 4.35, 12.11)
19,19511;Right Hand Presence Physics;(0.07, 0.35, 3.75);(345.97, 346.74, 346.28)
19,19511;Left Hand Presence Physics;(-0.08, 0.34, 3.77);(347.94, 4.35, 12.11)
19,19511;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
19,19511;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
19,69661;Right Hand Presence Physics;(0.05, 0.36, 3.73);(341.34, 344.44, 352.96)
19,69661;Left Hand Presence Physics;(-0.05, 0.35, 3.77);(346.33, 10.96, 18.42)
19,69661;Right Hand Presence Physics;(0.05, 0.36, 3.73);(341.34, 344.44, 352.96)
19,69661;Left Hand Presence Physics;(-0.05, 0.35, 3.77);(346.33, 10.96, 18.42)
19,69661;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
19,69661;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
20,19762;Right Hand Presence Physics;(0.06, 0.35, 3.74);(340.61, 346.87, 354.45)
20,19762;Left Hand Presence Physics;(-0.05, 0.35, 3.77);(345.90, 7.07, 11.40)
20,19762;Right Hand Presence Physics;(0.06, 0.35, 3.74);(340.61, 346.87, 354.45)
20,19762;Left Hand Presence Physics;(-0.05, 0.35, 3.77);(345.90, 7.07, 11.40)
20,19762;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
20,19762;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
20,69932;Right Hand Presence Physics;(0.06, 0.35, 3.74);(341.80, 347.13, 352.15)
20,69932;Left Hand Presence Physics;(-0.06, 0.35, 3.77);(343.64, 5.34, 13.38)
20,69932;Right Hand Presence Physics;(0.06, 0.35, 3.74);(341.80, 347.13, 352.15)
20,69932;Left Hand Presence Physics;(-0.06, 0.35, 3.77);(343.64, 5.34, 13.38)
20,69932;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
20,69932;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
21,20052;Right Hand Presence Physics;(0.06, 0.36, 3.73);(339.74, 348.27, 352.02)
21,20052;Left Hand Presence Physics;(-0.08, 0.35, 3.77);(342.04, 359.49, 19.17)
21,20052;Right Hand Presence Physics;(0.06, 0.36, 3.73);(339.74, 348.27, 352.02)
21,20052;Left Hand Presence Physics;(-0.08, 0.35, 3.77);(342.04, 359.49, 19.17)
21,20052;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
21,20052;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
21,7016;Right Hand Presence Physics;(0.08, 0.32, 3.76);(345.55, 351.36, 349.32)
21,7016;Left Hand Presence Physics;(-0.11, 0.33, 3.79);(346.61, 356.38, 20.13)
21,7016;Right Hand Presence Physics;(0.08, 0.32, 3.76);(345.55, 351.36, 349.32)
21,7016;Left Hand Presence Physics;(-0.11, 0.33, 3.79);(346.61, 356.38, 20.13)
21,7016;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
21,7016;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
22,20298;Right Hand Presence Physics;(0.08, 0.31, 3.80);(346.10, 350.86, 350.05)
22,20298;Left Hand Presence Physics;(-0.11, 0.32, 3.83);(344.81, 356.84, 15.73)
22,20298;Right Hand Presence Physics;(0.08, 0.31, 3.80);(346.10, 350.86, 350.05)
22,20298;Left Hand Presence Physics;(-0.11, 0.32, 3.83);(344.81, 356.84, 15.73)
22,20298;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
22,20298;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
22,71189;Right Hand Presence Physics;(0.00, 0.34, 4.81);(343.57, 356.39, 354.75)
22,71189;Left Hand Presence Physics;(-0.21, 0.32, 4.82);(343.75, 354.57, 14.76)
22,71189;Right Hand Presence Physics;(0.00, 0.34, 4.81);(343.57, 356.39, 354.75)
22,71189;Left Hand Presence Physics;(-0.21, 0.32, 4.82);(343.75, 354.57, 14.76)
22,71189;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.01, 0.00);False
22,71189;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
23,2197;Right Hand Presence Physics;(0.08, 0.38, 5.25);(338.42, 359.32, 354.15)
23,2197;Left Hand Presence Physics;(-0.13, 0.36, 5.24);(338.18, 356.33, 7.95)
