Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,500126;Right Hand Presence Physics;(0.11, 1.27, -0.12);(20.44, 273.34, 60.80)
0,500126;Left Hand Presence Physics;(-0.04, 1.40, 0.00);(358.49, 24.63, 302.39)
0,500126;Right Hand Presence Physics;(0.11, 1.27, -0.12);(20.44, 273.34, 60.80)
0,500126;Left Hand Presence Physics;(-0.04, 1.40, 0.00);(358.49, 24.63, 302.39)
0,500126;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,500126;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,144345;Right Hand Presence Physics;(-0.05, 1.39, -0.02);(347.70, 353.68, 332.36)
1,144345;Left Hand Presence Physics;(0.05, 1.39, 0.00);(334.65, 352.42, 39.85)
1,144345;Right Hand Presence Physics;(-0.05, 1.39, -0.02);(347.70, 353.68, 332.36)
1,144345;Left Hand Presence Physics;(0.05, 1.39, 0.00);(334.65, 352.42, 39.85)
1,144345;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,144345;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,648076;Right Hand Presence Physics;(-0.25, 1.12, -0.17);(329.48, 303.95, 321.19)
1,648076;Left Hand Presence Physics;(-0.41, 1.08, -0.44);(330.15, 310.25, 34.42)
1,648076;Right Hand Presence Physics;(-0.25, 1.12, -0.17);(329.48, 303.95, 321.19)
1,648076;Left Hand Presence Physics;(-0.41, 1.08, -0.44);(330.15, 310.25, 34.42)
