Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5413716;Right Hand Presence Physics;(0.08, 1.41, -0.03);(39.95, 169.63, 330.37)
0,5413716;Left Hand Presence Physics;(-0.02, 1.36, 0.01);(15.41, 43.68, 211.67)
0,5413716;Right Hand Presence Physics;(0.08, 1.41, -0.03);(39.95, 169.63, 330.37)
0,5413716;Left Hand Presence Physics;(-0.02, 1.36, 0.01);(15.41, 43.68, 211.67)
0,5413716;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5413716;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,233983;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(334.95, 18.95, 332.58)
1,233983;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.86, 24.30, 26.58)
1,233983;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(334.95, 18.95, 332.58)
1,233983;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.86, 24.30, 26.58)
1,233983;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,233983;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,736338;Right Hand Presence Physics;(0.13, 1.19, 0.37);(332.13, 357.69, 336.26)
1,736338;Left Hand Presence Physics;(-0.25, 1.17, 0.38);(340.31, 335.98, 52.58)
1,736338;Right Hand Presence Physics;(0.13, 1.19, 0.37);(332.13, 357.69, 336.26)
1,736338;Left Hand Presence Physics;(-0.25, 1.17, 0.38);(340.31, 335.98, 52.58)
1,736338;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,736338;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,238465;Right Hand Presence Physics;(0.25, 1.15, 0.42);(350.40, 14.12, 293.20)
2,238465;Left Hand Presence Physics;(-0.19, 1.17, 0.38);(336.40, 351.77, 31.06)
2,238465;Right Hand Presence Physics;(0.25, 1.15, 0.42);(350.40, 14.12, 293.20)
2,238465;Left Hand Presence Physics;(-0.19, 1.17, 0.38);(336.40, 351.77, 31.06)
2,238465;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,238465;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,760989;Right Hand Presence Physics;(0.26, 1.17, 0.47);(341.46, 3.12, 307.23)
2,760989;Left Hand Presence Physics;(-0.11, 1.18, 0.44);(334.49, 351.78, 25.73)
2,760989;Right Hand Presence Physics;(0.26, 1.17, 0.47);(341.46, 3.12, 307.23)
2,760989;Left Hand Presence Physics;(-0.11, 1.18, 0.44);(334.49, 351.78, 25.73)
2,760989;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,760989;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,273862;Right Hand Presence Physics;(0.41, 1.17, 1.43);(339.71, 1.84, 310.45)
3,273862;Left Hand Presence Physics;(0.04, 1.18, 1.41);(335.61, 352.07, 29.36)
3,273862;Right Hand Presence Physics;(0.41, 1.17, 1.43);(339.71, 1.84, 310.45)
3,273862;Left Hand Presence Physics;(0.04, 1.18, 1.41);(335.61, 352.07, 29.36)
3,273862;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,273862;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,795167;Right Hand Presence Physics;(0.41, 1.18, 1.42);(339.21, 2.40, 312.17)
3,795167;Left Hand Presence Physics;(0.13, 1.16, 1.39);(326.92, 10.07, 332.22)
3,795167;Right Hand Presence Physics;(0.41, 1.18, 1.42);(339.21, 2.40, 312.17)
3,795167;Left Hand Presence Physics;(0.13, 1.16, 1.39);(326.92, 10.07, 332.22)
3,795167;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,795167;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,298939;Right Hand Presence Physics;(0.41, 1.18, 1.42);(339.07, 2.32, 312.61)
4,298939;Left Hand Presence Physics;(0.15, 1.10, 1.40);(341.12, 16.20, 310.79)
4,298939;Right Hand Presence Physics;(0.41, 1.18, 1.42);(339.07, 2.32, 312.61)
4,298939;Left Hand Presence Physics;(0.15, 1.10, 1.40);(341.12, 16.20, 310.79)
4,298939;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,298939;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,799879;Right Hand Presence Physics;(0.41, 1.17, 1.43);(339.28, 2.12, 312.92)
4,799879;Left Hand Presence Physics;(0.17, 1.08, 1.43);(356.22, 15.68, 306.69)
4,799879;Right Hand Presence Physics;(0.41, 1.17, 1.43);(339.28, 2.12, 312.92)
4,799879;Left Hand Presence Physics;(0.17, 1.08, 1.43);(356.22, 15.68, 306.69)
4,799879;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,799879;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,301605;Right Hand Presence Physics;(0.41, 1.17, 1.43);(339.23, 2.11, 312.86)
5,301605;Left Hand Presence Physics;(0.16, 1.09, 1.42);(349.27, 15.66, 309.02)
5,301605;Right Hand Presence Physics;(0.41, 1.17, 1.43);(339.23, 2.11, 312.86)
5,301605;Left Hand Presence Physics;(0.16, 1.09, 1.42);(349.27, 15.66, 309.02)
5,301605;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,301605;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,801708;Right Hand Presence Physics;(0.41, 1.17, 1.43);(339.23, 1.84, 313.03)
5,801708;Left Hand Presence Physics;(0.17, 1.08, 1.42);(351.57, 16.36, 305.93)
5,801708;Right Hand Presence Physics;(0.41, 1.17, 1.43);(339.23, 1.84, 313.03)
5,801708;Left Hand Presence Physics;(0.17, 1.08, 1.42);(351.57, 16.36, 305.93)
5,801708;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,801708;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,303096;Right Hand Presence Physics;(0.41, 1.17, 1.43);(339.17, 1.93, 312.96)
6,303096;Left Hand Presence Physics;(0.16, 1.08, 1.42);(350.30, 16.18, 306.97)
6,303096;Right Hand Presence Physics;(0.41, 1.17, 1.43);(339.17, 1.93, 312.96)
6,303096;Left Hand Presence Physics;(0.16, 1.08, 1.42);(350.30, 16.18, 306.97)
6,303096;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,303096;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,805529;Right Hand Presence Physics;(0.41, 1.17, 1.43);(339.06, 1.90, 313.01)
6,805529;Left Hand Presence Physics;(0.16, 1.08, 1.42);(351.06, 15.79, 306.19)
6,805529;Right Hand Presence Physics;(0.41, 1.17, 1.43);(339.06, 1.90, 313.01)
6,805529;Left Hand Presence Physics;(0.16, 1.08, 1.42);(351.06, 15.79, 306.19)
6,805529;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
