Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5018363;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
0,5018363;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
0,5018363;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
0,5018363;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
0,5018363;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,002665;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
1,002665;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
1,002665;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
1,002665;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
1,002665;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,503938;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
1,503938;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
1,503938;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
1,503938;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
1,503938;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,004908;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
2,004908;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
2,004908;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
2,004908;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
2,004908;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,505946;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
2,505946;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
2,505946;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
2,505946;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
2,505946;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,007315;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
3,007315;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
3,007315;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
3,007315;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
3,007315;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,50853;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
3,50853;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
3,50853;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
3,50853;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
3,50853;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,010159;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
4,010159;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
4,010159;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
4,010159;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
4,010159;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,510549;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
4,510549;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
4,510549;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
4,510549;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
4,510549;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5,011808;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
5,011808;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
5,011808;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
5,011808;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
5,011808;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5,513047;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
5,513047;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
5,513047;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
5,513047;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
5,513047;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6,014231;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
6,014231;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
6,014231;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
6,014231;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
6,014231;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6,515656;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
6,515656;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
6,515656;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
