Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5111509;Right Hand Presence Physics;(0.06, 0.23, -0.05);(1.20, 1.38, 352.69)
0,5111509;Left Hand Presence Physics;(-0.27, 1.16, -0.31);(8.09, 27.60, 324.61)
0,5111509;Right Hand Presence Physics;(0.06, 0.23, -0.05);(1.20, 1.38, 352.69)
0,5111509;Left Hand Presence Physics;(-0.27, 1.16, -0.31);(8.09, 27.60, 324.61)
0,5111509;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5111509;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,022362;Right Hand Presence Physics;(0.05, 1.40, -0.02);(57.05, 157.95, 307.73)
1,022362;Left Hand Presence Physics;(-0.03, 1.36, 0.00);(47.93, 49.32, 184.53)
1,022362;Right Hand Presence Physics;(0.05, 1.40, -0.02);(57.05, 157.95, 307.73)
1,022362;Left Hand Presence Physics;(-0.03, 1.36, 0.00);(47.93, 49.32, 184.53)
1,022362;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,022362;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,781296;Right Hand Presence Physics;(-0.07, 1.37, -0.02);(333.16, 350.48, 315.33)
1,781296;Left Hand Presence Physics;(0.03, 1.39, 0.00);(358.83, 2.44, 34.04)
1,781296;Right Hand Presence Physics;(-0.07, 1.37, -0.02);(333.16, 350.48, 315.33)
1,781296;Left Hand Presence Physics;(0.03, 1.39, 0.00);(358.83, 2.44, 34.04)
1,781296;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,781296;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,283204;Right Hand Presence Physics;(-0.07, 1.37, -0.02);(333.15, 350.47, 315.36)
2,283204;Left Hand Presence Physics;(0.03, 1.39, 0.00);(358.84, 2.43, 34.05)
2,283204;Right Hand Presence Physics;(-0.07, 1.37, -0.02);(333.15, 350.47, 315.36)
2,283204;Left Hand Presence Physics;(0.03, 1.39, 0.00);(358.84, 2.43, 34.05)
2,283204;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,283204;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,785147;Right Hand Presence Physics;(-0.07, 1.37, -0.02);(333.15, 350.47, 315.36)
2,785147;Left Hand Presence Physics;(0.03, 1.39, 0.00);(358.84, 2.43, 34.05)
2,785147;Right Hand Presence Physics;(-0.07, 1.37, -0.02);(333.15, 350.47, 315.36)
2,785147;Left Hand Presence Physics;(0.03, 1.39, 0.00);(358.84, 2.43, 34.05)
2,785147;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,785147;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,288224;Right Hand Presence Physics;(-0.07, 1.37, -0.02);(333.15, 350.47, 315.36)
3,288224;Left Hand Presence Physics;(0.03, 1.39, 0.00);(358.84, 2.43, 34.05)
3,288224;Right Hand Presence Physics;(-0.07, 1.37, -0.02);(333.15, 350.47, 315.36)
3,288224;Left Hand Presence Physics;(0.03, 1.39, 0.00);(358.84, 2.43, 34.05)
3,288224;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,288224;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,789873;Right Hand Presence Physics;(-0.07, 1.37, -0.02);(333.15, 350.47, 315.36)
3,789873;Left Hand Presence Physics;(0.03, 1.39, 0.00);(358.83, 2.43, 34.05)
3,789873;Right Hand Presence Physics;(-0.07, 1.37, -0.02);(333.15, 350.47, 315.36)
3,789873;Left Hand Presence Physics;(0.03, 1.39, 0.00);(358.83, 2.43, 34.05)
3,789873;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,789873;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,290184;Right Hand Presence Physics;(-0.05, 1.37, 0.00);(344.70, 3.66, 307.14)
4,290184;Left Hand Presence Physics;(0.05, 1.39, 0.00);(0.70, 8.92, 27.76)
4,290184;Right Hand Presence Physics;(-0.05, 1.37, 0.00);(344.70, 3.66, 307.14)
4,290184;Left Hand Presence Physics;(0.05, 1.39, 0.00);(0.70, 8.92, 27.76)
4,290184;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
