Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5099254;Right Hand Presence Physics;(0.34, 1.07, -0.39);(10.04, 287.44, 52.81)
0,5099254;Left Hand Presence Physics;(-0.27, 1.16, -0.31);(8.17, 27.75, 324.43)
0,5099254;Right Hand Presence Physics;(0.34, 1.07, -0.39);(10.04, 287.44, 52.81)
0,5099254;Left Hand Presence Physics;(-0.27, 1.16, -0.31);(8.17, 27.75, 324.43)
0,5099254;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5099254;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,010978;Right Hand Presence Physics;(-0.04, 1.39, 0.00);(334.95, 14.26, 323.69)
1,010978;Left Hand Presence Physics;(0.06, 1.38, -0.01);(342.88, 10.34, 47.03)
1,010978;Right Hand Presence Physics;(-0.04, 1.39, 0.00);(334.95, 14.26, 323.69)
1,010978;Left Hand Presence Physics;(0.06, 1.38, -0.01);(342.88, 10.34, 47.03)
1,010978;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,010978;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,512139;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.03, 18.01, 333.26)
1,512139;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.18, 23.73, 25.72)
1,512139;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.03, 18.01, 333.26)
1,512139;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.18, 23.73, 25.72)
1,512139;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,512139;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,013292;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.03, 18.02, 333.26)
2,013292;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.18, 23.74, 25.72)
2,013292;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.03, 18.02, 333.26)
2,013292;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.18, 23.74, 25.72)
2,013292;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,013292;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,51465;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.03, 18.02, 333.26)
2,51465;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.18, 23.74, 25.72)
