Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
0,5099157;Right Hand Presence Physics;(0.07, 0.25, -0.06);(1.11, 1.37, 352.43)
0,5099157;Left Hand Presence Physics;(-0.07, 0.25, -0.06);(359.27, 357.83, 2.56)
0,5099157;Right Hand Presence Physics;(0.07, 0.25, -0.06);(1.11, 1.37, 352.43)
0,5099157;Left Hand Presence Physics;(-0.07, 0.25, -0.06);(359.27, 357.83, 2.56)
0,5099157;Rubber Cube;(-0.11, 0.65, 5.65);(0.00, 0.00, 0.00);False
0,5099157;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
0,5099157;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,107;Right Hand Presence Physics;(-0.04, 1.38, 0.07);(357.67, 51.28, 333.92)
1,107;Left Hand Presence Physics;(0.01, 1.42, -0.02);(345.41, 257.97, 105.41)
1,107;Right Hand Presence Physics;(-0.04, 1.38, 0.07);(357.67, 51.28, 333.92)
1,107;Left Hand Presence Physics;(0.01, 1.42, -0.02);(345.41, 257.97, 105.41)
1,107;Rubber Cube;(-0.11, 0.65, 5.65);(0.00, 0.00, 0.00);False
1,107;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,107;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,615549;Right Hand Presence Physics;(0.14, 1.15, 0.31);(354.24, 319.35, 4.49)
1,615549;Left Hand Presence Physics;(0.12, 1.15, 0.32);(47.89, 240.97, 78.39)
1,615549;Right Hand Presence Physics;(0.14, 1.15, 0.31);(354.24, 319.35, 4.49)
1,615549;Left Hand Presence Physics;(0.12, 1.15, 0.32);(47.89, 240.97, 78.39)
1,615549;Rubber Cube;(-0.11, 0.65, 5.65);(0.00, 0.00, 0.00);False
1,615549;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,615549;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,117589;Right Hand Presence Physics;(0.35, 1.15, 0.35);(336.39, 23.13, 335.00)
2,117589;Left Hand Presence Physics;(0.00, 1.15, 0.46);(334.55, 15.45, 30.88)
2,117589;Right Hand Presence Physics;(0.35, 1.15, 0.35);(336.39, 23.13, 335.00)
2,117589;Left Hand Presence Physics;(0.00, 1.15, 0.46);(334.55, 15.45, 30.88)
2,117589;Rubber Cube;(-0.11, 0.65, 5.65);(0.00, 0.00, 0.00);False
2,117589;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,117589;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,619498;Right Hand Presence Physics;(0.30, 1.14, 1.08);(336.41, 6.62, 346.70)
2,619498;Left Hand Presence Physics;(0.01, 1.15, 1.17);(328.05, 18.47, 28.67)
2,619498;Right Hand Presence Physics;(0.30, 1.14, 1.08);(336.41, 6.62, 346.70)
2,619498;Left Hand Presence Physics;(0.01, 1.15, 1.17);(328.05, 18.47, 28.67)
2,619498;Rubber Cube;(-0.11, 0.65, 5.65);(0.00, 0.00, 0.00);False
2,619498;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,619498;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
3,121727;Right Hand Presence Physics;(0.42, 1.14, 2.32);(336.95, 6.90, 346.99)
3,121727;Left Hand Presence Physics;(0.15, 1.14, 2.41);(332.25, 18.85, 26.66)
3,121727;Right Hand Presence Physics;(0.42, 1.14, 2.32);(336.95, 6.90, 346.99)
3,121727;Left Hand Presence Physics;(0.15, 1.14, 2.41);(332.25, 18.85, 26.66)
3,121727;Rubber Cube;(-0.11, 0.65, 5.65);(0.00, 0.00, 0.00);False
3,121727;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,121727;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
3,62302;Right Hand Presence Physics;(0.43, 1.14, 2.37);(335.66, 9.18, 347.37)
3,62302;Left Hand Presence Physics;(0.15, 1.15, 2.45);(327.83, 20.17, 26.90)
3,62302;Right Hand Presence Physics;(0.43, 1.14, 2.37);(335.66, 9.18, 347.37)
3,62302;Left Hand Presence Physics;(0.15, 1.15, 2.45);(327.83, 20.17, 26.90)
3,62302;Rubber Cube;(-0.11, 0.65, 5.65);(0.00, 0.00, 0.00);False
3,62302;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,62302;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
4,124714;Right Hand Presence Physics;(0.42, 1.14, 3.60);(336.20, 7.68, 347.83)
4,124714;Left Hand Presence Physics;(0.13, 1.16, 3.70);(327.20, 17.52, 26.62)
4,124714;Right Hand Presence Physics;(0.42, 1.14, 3.60);(336.20, 7.68, 347.83)
4,124714;Left Hand Presence Physics;(0.13, 1.16, 3.70);(327.20, 17.52, 26.62)
4,124714;Rubber Cube;(-0.11, 0.65, 5.65);(0.00, 0.00, 0.00);False
4,124714;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,124714;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
4,625996;Right Hand Presence Physics;(0.60, 1.15, 4.80);(336.13, 7.91, 348.03)
4,625996;Left Hand Presence Physics;(0.13, 1.14, 4.94);(332.07, 359.65, 17.52)
4,625996;Right Hand Presence Physics;(0.60, 1.15, 4.80);(336.13, 7.91, 348.03)
4,625996;Left Hand Presence Physics;(0.13, 1.14, 4.94);(332.07, 359.65, 17.52)
4,625996;Rubber Cube;(-0.11, 0.65, 5.65);(0.00, 0.00, 0.00);False
4,625996;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,625996;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
5,127299;Right Hand Presence Physics;(0.50, 1.14, 5.26);(336.75, 8.90, 348.15)
5,127299;Left Hand Presence Physics;(-0.12, 0.90, 5.49);(357.59, 339.91, 5.17)
5,127299;Right Hand Presence Physics;(0.50, 1.14, 5.26);(336.75, 8.90, 348.15)
5,127299;Left Hand Presence Physics;(-0.12, 0.90, 5.49);(357.59, 339.91, 5.17)
5,127299;Rubber Cube;(-0.11, 0.65, 5.65);(0.00, 0.00, 0.00);False
5,127299;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,127299;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
5,628806;Right Hand Presence Physics;(0.46, 1.14, 5.39);(337.12, 8.79, 348.49)
5,628806;Left Hand Presence Physics;(-0.18, 0.78, 5.63);(18.43, 339.88, 357.65)
5,628806;Right Hand Presence Physics;(0.46, 1.14, 5.39);(337.12, 8.79, 348.49)
5,628806;Left Hand Presence Physics;(-0.18, 0.78, 5.63);(18.43, 339.88, 357.65)
5,628806;Rubber Cube;(-0.11, 0.65, 5.65);(0.00, 0.00, 0.00);False
5,628806;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,628806;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
6,130292;Right Hand Presence Physics;(0.46, 1.14, 5.40);(337.32, 8.33, 348.76)
6,130292;Left Hand Presence Physics;(-0.16, 0.76, 5.63);(27.67, 348.04, 5.45)
6,130292;Right Hand Presence Physics;(0.46, 1.14, 5.40);(337.32, 8.33, 348.76)
6,130292;Left Hand Presence Physics;(-0.16, 0.76, 5.63);(27.67, 348.04, 5.45)
6,130292;Rubber Cube;(-0.11, 0.65, 5.65);(359.98, 358.51, 359.92);False
