Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5039895;Right Hand Presence Physics;(0.34, 1.07, -0.39);(10.04, 287.44, 52.81)
0,5039895;Left Hand Presence Physics;(-0.02, 1.34, 0.00);(15.43, 38.97, 251.55)
0,5039895;Right Hand Presence Physics;(0.34, 1.07, -0.39);(10.04, 287.44, 52.81)
0,5039895;Left Hand Presence Physics;(-0.02, 1.34, 0.00);(15.43, 38.97, 251.55)
0,5039895;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5039895;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,005118;Right Hand Presence Physics;(0.07, 1.39, -0.05);(47.54, 194.37, 347.79)
1,005118;Left Hand Presence Physics;(-0.02, 1.36, 0.01);(37.51, 49.89, 183.79)
1,005118;Right Hand Presence Physics;(0.07, 1.39, -0.05);(47.54, 194.37, 347.79)
1,005118;Left Hand Presence Physics;(-0.02, 1.36, 0.01);(37.51, 49.89, 183.79)
1,005118;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,005118;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,548053;Right Hand Presence Physics;(0.04, 1.37, 0.01);(51.04, 131.94, 342.25)
1,548053;Left Hand Presence Physics;(-0.02, 1.37, 0.00);(60.19, 64.42, 166.94)
1,548053;Right Hand Presence Physics;(0.04, 1.37, 0.01);(51.04, 131.94, 342.25)
1,548053;Left Hand Presence Physics;(-0.02, 1.37, 0.00);(60.19, 64.42, 166.94)
1,548053;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,548053;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,085975;Right Hand Presence Physics;(-0.01, 1.40, -0.01);(336.97, 353.02, 312.44)
2,085975;Left Hand Presence Physics;(0.01, 1.36, 0.00);(43.50, 157.62, 336.38)
2,085975;Right Hand Presence Physics;(-0.01, 1.40, -0.01);(336.97, 353.02, 312.44)
2,085975;Left Hand Presence Physics;(0.01, 1.36, 0.00);(43.50, 157.62, 336.38)
2,085975;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,085975;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,592409;Right Hand Presence Physics;(-0.01, 1.40, -0.01);(336.96, 353.08, 312.46)
