Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5078913;Right Hand Presence Physics;(0.06, 0.23, -0.05);(1.20, 1.38, 352.69)
0,5078913;Left Hand Presence Physics;(-0.27, 1.16, -0.31);(8.17, 27.75, 324.43)
0,5078913;Right Hand Presence Physics;(0.06, 0.23, -0.05);(1.20, 1.38, 352.69)
0,5078913;Left Hand Presence Physics;(-0.27, 1.16, -0.31);(8.17, 27.75, 324.43)
0,5078913;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5078913;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,111833;Right Hand Presence Physics;(0.04, 1.39, 0.01);(34.53, 106.83, 288.56)
1,111833;Left Hand Presence Physics;(-0.01, 1.36, 0.00);(48.41, 70.97, 183.04)
1,111833;Right Hand Presence Physics;(0.04, 1.39, 0.01);(34.53, 106.83, 288.56)
1,111833;Left Hand Presence Physics;(-0.01, 1.36, 0.00);(48.41, 70.97, 183.04)
1,111833;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,111833;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,612483;Right Hand Presence Physics;(-0.50, 1.03, -0.07);(348.17, 309.44, 319.24)
1,612483;Left Hand Presence Physics;(-0.76, 1.04, -0.43);(344.17, 292.44, 16.05)
1,612483;Right Hand Presence Physics;(-0.50, 1.03, -0.07);(348.17, 309.44, 319.24)
1,612483;Left Hand Presence Physics;(-0.76, 1.04, -0.43);(344.17, 292.44, 16.05)
1,612483;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,612483;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,114857;Right Hand Presence Physics;(-0.22, 1.07, 1.10);(341.16, 317.69, 326.25)
2,114857;Left Hand Presence Physics;(-0.55, 1.04, 0.77);(343.35, 298.59, 10.45)
2,114857;Right Hand Presence Physics;(-0.22, 1.07, 1.10);(341.16, 317.69, 326.25)
2,114857;Left Hand Presence Physics;(-0.55, 1.04, 0.77);(343.35, 298.59, 10.45)
2,114857;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,114857;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,616741;Right Hand Presence Physics;(0.89, 1.06, 1.88);(342.91, 0.17, 327.11)
2,616741;Left Hand Presence Physics;(0.42, 1.03, 1.87);(343.70, 342.57, 9.67)
2,616741;Right Hand Presence Physics;(0.89, 1.06, 1.88);(342.91, 0.17, 327.11)
2,616741;Left Hand Presence Physics;(0.42, 1.03, 1.87);(343.70, 342.57, 9.67)
2,616741;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,616741;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,118657;Right Hand Presence Physics;(0.34, 1.06, 3.01);(342.84, 351.21, 327.63)
3,118657;Left Hand Presence Physics;(-0.06, 1.03, 2.98);(344.82, 340.66, 7.02)
3,118657;Right Hand Presence Physics;(0.34, 1.06, 3.01);(342.84, 351.21, 327.63)
3,118657;Left Hand Presence Physics;(-0.06, 1.03, 2.98);(344.82, 340.66, 7.02)
3,118657;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,118657;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,620286;Right Hand Presence Physics;(0.47, 1.06, 4.24);(342.97, 350.80, 328.68)
3,620286;Left Hand Presence Physics;(0.07, 1.02, 4.22);(345.36, 340.92, 5.55)
3,620286;Right Hand Presence Physics;(0.47, 1.06, 4.24);(342.97, 350.80, 328.68)
3,620286;Left Hand Presence Physics;(0.07, 1.02, 4.22);(345.36, 340.92, 5.55)
3,620286;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,620286;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,122543;Right Hand Presence Physics;(0.44, 1.06, 5.31);(342.96, 350.54, 328.06)
4,122543;Left Hand Presence Physics;(-0.03, 0.97, 5.32);(1.42, 326.43, 1.27)
4,122543;Right Hand Presence Physics;(0.44, 1.06, 5.31);(342.96, 350.54, 328.06)
4,122543;Left Hand Presence Physics;(-0.03, 0.97, 5.32);(1.42, 326.43, 1.27)
4,122543;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,122543;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,623583;Right Hand Presence Physics;(0.42, 1.05, 5.34);(343.62, 349.97, 327.29)
4,623583;Left Hand Presence Physics;(-0.05, 0.91, 5.41);(6.41, 328.32, 342.52)
4,623583;Right Hand Presence Physics;(0.42, 1.05, 5.34);(343.62, 349.97, 327.29)
4,623583;Left Hand Presence Physics;(-0.05, 0.91, 5.41);(6.41, 328.32, 342.52)
4,623583;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,623583;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,125011;Right Hand Presence Physics;(0.39, 1.05, 5.55);(344.39, 348.56, 327.93)
5,125011;Left Hand Presence Physics;(-0.15, 0.81, 5.63);(14.92, 316.79, 330.42)
5,125011;Right Hand Presence Physics;(0.39, 1.05, 5.55);(344.39, 348.56, 327.93)
5,125011;Left Hand Presence Physics;(-0.15, 0.81, 5.63);(14.92, 316.79, 330.42)
5,125011;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,125011;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,625946;Right Hand Presence Physics;(0.38, 1.07, 5.57);(345.25, 348.28, 329.76)
5,625946;Left Hand Presence Physics;(-0.08, 0.88, 5.62);(27.39, 357.95, 318.49)
5,625946;Right Hand Presence Physics;(0.38, 1.07, 5.57);(345.25, 348.28, 329.76)
5,625946;Left Hand Presence Physics;(-0.08, 0.88, 5.62);(27.39, 357.95, 318.49)
5,625946;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,625946;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,127786;Right Hand Presence Physics;(0.61, 1.42, 5.92);(347.65, 345.74, 328.59)
6,127786;Left Hand Presence Physics;(-0.06, 1.31, 5.72);(6.07, 320.42, 1.87)
6,127786;Right Hand Presence Physics;(0.61, 1.42, 5.92);(347.65, 345.74, 328.59)
6,127786;Left Hand Presence Physics;(-0.06, 1.31, 5.72);(6.07, 320.42, 1.87)
6,127786;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,127786;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,629305;Right Hand Presence Physics;(0.53, 1.07, 5.90);(344.61, 336.69, 334.15)
