Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5036919;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5036919;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5036919;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5036919;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5036919;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0.5036919;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.005332;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.005332;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.005332;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.005332;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.005332;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.005332;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.506008;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.506008;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.506008;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.506008;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.506008;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1.506008;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.00731;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.00731;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2.00731;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.00731;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2.00731;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.00731;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.509086;Right Hand Presence Physics;(-0.29, 1.31, 0.14);(0.00, 278.00, 0.00)
2.509086;Left Hand Presence Physics;(-0.31, 1.31, -0.05);(0.00, 278.00, 0.00)
2.509086;Right Hand Presence Physics;(-0.29, 1.31, 0.14);(0.00, 278.00, 0.00)
2.509086;Left Hand Presence Physics;(-0.31, 1.31, -0.05);(0.00, 278.00, 0.00)
2.509086;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2.509086;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.010124;Right Hand Presence Physics;(-0.01, 1.31, 0.34);(0.00, 340.80, 0.00)
3.010124;Left Hand Presence Physics;(-0.20, 1.31, 0.27);(0.00, 340.80, 0.00)
3.010124;Right Hand Presence Physics;(-0.01, 1.31, 0.34);(0.00, 340.80, 0.00)
3.010124;Left Hand Presence Physics;(-0.20, 1.31, 0.27);(0.00, 340.80, 0.00)
