Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5049542;Right Hand Presence Physics;(0.11, 1.27, -0.12);(20.44, 273.34, 60.80)
0,5049542;Left Hand Presence Physics;(-0.08, 1.29, -0.10);(16.15, 37.08, 311.03)
0,5049542;Right Hand Presence Physics;(0.11, 1.27, -0.12);(20.44, 273.34, 60.80)
0,5049542;Left Hand Presence Physics;(-0.08, 1.29, -0.10);(16.15, 37.08, 311.03)
0,5049542;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5049542;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,006064;Right Hand Presence Physics;(0.02, 1.38, 0.04);(29.74, 68.60, 294.98)
1,006064;Left Hand Presence Physics;(-0.03, 1.35, 0.00);(357.62, 1.76, 218.17)
1,006064;Right Hand Presence Physics;(0.02, 1.38, 0.04);(29.74, 68.60, 294.98)
1,006064;Left Hand Presence Physics;(-0.03, 1.35, 0.00);(357.62, 1.76, 218.17)
1,006064;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,006064;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,507366;Right Hand Presence Physics;(0.02, 1.37, 0.02);(359.45, 321.50, 251.86)
1,507366;Left Hand Presence Physics;(-0.01, 1.38, -0.04);(322.04, 310.67, 16.32)
1,507366;Right Hand Presence Physics;(0.02, 1.37, 0.02);(359.45, 321.50, 251.86)
