Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
4,510673;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,510673;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,510673;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
5,012061;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
5,012061;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
5,012061;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
5,012061;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
5,012061;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,012061;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,012061;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
5,513147;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
5,513147;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
5,513147;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
5,513147;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
5,513147;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,513147;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,513147;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
6,014178;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
6,014178;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
6,014178;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
6,014178;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
6,014178;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,014178;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,014178;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
6,726571;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
6,726571;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
6,726571;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
6,726571;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
6,726571;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,726571;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,726571;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
7,230711;Right Hand Presence Physics;(0.10, 1.30, 0.21);(12.52, 68.82, 351.59)
7,230711;Left Hand Presence Physics;(0.11, 1.35, 0.11);(22.36, 68.79, 62.50)
7,230711;Right Hand Presence Physics;(0.10, 1.30, 0.21);(12.52, 68.82, 351.59)
7,230711;Left Hand Presence Physics;(0.11, 1.35, 0.11);(22.36, 68.79, 62.50)
7,230711;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7,230711;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
7,230711;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
7,733224;Right Hand Presence Physics;(0.12, 1.26, 0.25);(9.10, 80.74, 13.55)
7,733224;Left Hand Presence Physics;(0.10, 1.34, 0.15);(6.13, 76.92, 68.93)
7,733224;Right Hand Presence Physics;(0.12, 1.26, 0.25);(9.10, 80.74, 13.55)
7,733224;Left Hand Presence Physics;(0.10, 1.34, 0.15);(6.13, 76.92, 68.93)
7,733224;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7,733224;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
7,733224;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
8,234902;Right Hand Presence Physics;(0.25, 1.23, 0.24);(321.76, 344.28, 354.28)
8,234902;Left Hand Presence Physics;(0.04, 1.18, 0.29);(334.36, 97.38, 346.17)
8,234902;Right Hand Presence Physics;(0.25, 1.23, 0.24);(321.76, 344.28, 354.28)
8,234902;Left Hand Presence Physics;(0.04, 1.18, 0.29);(334.36, 97.38, 346.17)
8,234902;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
