Timestamp;Name;Position;Rotation;Grabbed
15,33479;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
15,33479;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
15,33479;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
15,33479;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
15,33479;Rubber Cube;(-0.21, 1.27, 5.60);(0.00, 0.00, 0.00);False
15,33479;Metal Cube;(0.17, 1.27, 5.60);(0.00, 0.00, 0.00);False
19,46442;Right Hand Presence Physics;(0.01, 0.08, 0.00);(357.90, 346.99, 279.70)
19,46442;Left Hand Presence Physics;(-0.02, 0.07, 0.00);(335.08, 344.03, 333.11)
19,46442;Right Hand Presence Physics;(0.01, 0.08, 0.00);(357.90, 346.99, 279.70)
19,46442;Left Hand Presence Physics;(-0.02, 0.07, 0.00);(335.08, 344.03, 333.11)
19,46442;Rubber Cube;(-0.21, 0.57, 5.60);(359.99, 0.00, 0.00);False
19,46442;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
20,48738;Right Hand Presence Physics;(0.01, 0.08, 0.00);(357.90, 346.99, 279.70)
20,48738;Left Hand Presence Physics;(-0.02, 0.07, 0.00);(335.08, 344.03, 333.11)
20,48738;Right Hand Presence Physics;(0.01, 0.08, 0.00);(357.90, 346.99, 279.70)
20,48738;Left Hand Presence Physics;(-0.02, 0.07, 0.00);(335.08, 344.03, 333.11)
20,48738;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
20,48738;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
20,85774;Right Hand Presence Physics;(0.54, 0.84, 0.05);(352.04, 325.23, 348.88)
20,85774;Left Hand Presence Physics;(0.37, 0.84, -0.07);(339.82, 346.66, 3.86)
20,85774;Right Hand Presence Physics;(0.54, 0.84, 0.05);(352.04, 325.23, 348.88)
20,85774;Left Hand Presence Physics;(0.37, 0.84, -0.07);(339.82, 346.66, 3.86)
20,85774;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
20,85774;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
21,36061;Right Hand Presence Physics;(0.60, 0.83, 0.08);(3.35, 347.28, 344.25)
21,36061;Left Hand Presence Physics;(0.38, 0.84, -0.06);(339.38, 352.13, 6.59)
21,36061;Right Hand Presence Physics;(0.60, 0.83, 0.08);(3.35, 347.28, 344.25)
21,36061;Left Hand Presence Physics;(0.38, 0.84, -0.06);(339.38, 352.13, 6.59)
21,36061;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
21,36061;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
21,86836;Right Hand Presence Physics;(0.63, 0.88, 0.11);(359.11, 353.94, 338.95)
21,86836;Left Hand Presence Physics;(0.40, 0.84, -0.05);(339.55, 356.68, 5.53)
21,86836;Right Hand Presence Physics;(0.63, 0.88, 0.11);(359.11, 353.94, 338.95)
21,86836;Left Hand Presence Physics;(0.40, 0.84, -0.05);(339.55, 356.68, 5.53)
21,86836;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
21,86836;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
22,37204;Right Hand Presence Physics;(0.65, 0.88, 0.14);(6.36, 353.70, 318.62)
