Timestamp;Type;Name;Position;Rotation
10,94602;1;Main Camera;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
10,94602;1;Right Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
10,94602;1;Left Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
10,94602;1;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
10,94602;1;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
10,94602;2;Cube;(0.00, 2.00, 5.60);(0.00, 0.00, 0.00)
13,54135;1;Main Camera;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
13,54135;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
13,54135;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
13,54135;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
13,54135;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
13,54135;2;Cube;(0.00, 0.70, 5.60);(0.00, 0.00, 0.00)
14,04215;1;Main Camera;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,04215;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,04215;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,04215;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,04215;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,04215;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
14,54431;1;Main Camera;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,54431;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,54431;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,54431;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,54431;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,54431;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
15,04447;1;Main Camera;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,04447;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,04447;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,04447;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,04447;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,04447;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
15,54616;1;Main Camera;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,54616;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,54616;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,54616;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,54616;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,54616;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
16,04897;1;Main Camera;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,04897;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,04897;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,04897;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,04897;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,04897;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
16,54901;1;Main Camera;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,54901;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,54901;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,54901;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,54901;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,54901;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
17,05135;1;Main Camera;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
17,05135;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
17,05135;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
17,05135;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
17,05135;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
17,05135;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
17,55129;1;Main Camera;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
17,55129;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
17,55129;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
17,55129;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
17,55129;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
17,55129;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
18,05268;1;Main Camera;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
18,05268;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
18,05268;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
18,05268;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
18,05268;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
18,05268;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
18,55464;1;Main Camera;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
18,55464;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
18,55464;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
18,55464;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
18,55464;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
18,55464;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
19,20438;1;Main Camera;(0.74, 0.63, -1.06);(346.81, 350.19, 7.89)
19,20438;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
19,20438;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
19,20438;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
19,20438;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
19,20438;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
19,57764;1;Main Camera;(0.77, 0.63, -1.05);(347.98, 4.39, 3.50)
19,57764;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
19,57764;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
19,57764;1;Right Controller;(0.85, 0.42, -0.77);(331.68, 342.75, 351.00)
19,57764;1;Left Controller;(-0.42, -0.12, -0.05);(10.39, 334.65, 296.62)
19,57764;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
20,07906;1;Main Camera;(0.76, 0.61, -1.03);(356.08, 358.77, 2.78)
20,07906;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
20,07906;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
20,07906;1;Right Controller;(0.87, 0.37, -0.71);(352.07, 350.70, 342.81)
20,07906;1;Left Controller;(-0.42, -0.12, -0.05);(10.39, 334.65, 296.62)
20,07906;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
20,58012;1;Main Camera;(0.75, 0.61, -1.03);(357.93, 356.02, 2.92)
20,58012;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
20,58012;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
20,58012;1;Right Controller;(0.87, 0.35, -0.70);(356.71, 353.98, 342.39)
20,58012;1;Left Controller;(-0.42, -0.12, -0.05);(10.39, 334.65, 296.62)
20,58012;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
21,0816;1;Main Camera;(0.76, 0.61, -1.03);(359.26, 358.25, 1.79)
21,0816;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
21,0816;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
21,0816;1;Right Controller;(0.87, 0.34, -0.70);(358.28, 352.85, 342.84)
21,0816;1;Left Controller;(-0.42, -0.12, -0.05);(10.39, 334.65, 296.62)
21,0816;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
21,58308;1;Main Camera;(0.77, 0.61, -1.02);(359.69, 1.64, 0.39)
21,58308;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
21,58308;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
21,58308;1;Right Controller;(0.87, 0.34, -0.70);(357.78, 353.35, 343.06)
21,58308;1;Left Controller;(-0.42, -0.12, -0.05);(10.39, 334.65, 296.62)
21,58308;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
22,08481;1;Main Camera;(0.77, 0.61, -1.02);(0.61, 2.49, 359.96)
22,08481;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
22,08481;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
22,08481;1;Right Controller;(0.87, 0.34, -0.70);(357.45, 353.50, 342.97)
22,08481;1;Left Controller;(-0.42, -0.12, -0.05);(10.39, 334.65, 296.62)
22,08481;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
22,5864;1;Main Camera;(0.77, 0.61, -1.02);(1.16, 1.95, 0.31)
22,5864;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
22,5864;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
22,5864;1;Right Controller;(0.87, 0.35, -0.70);(355.56, 354.82, 340.91)
22,5864;1;Left Controller;(-0.42, -0.12, -0.05);(10.39, 334.65, 296.62)
