Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0.5008725;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5008725;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5008725;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5008725;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5008725;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.001316;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001316;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001316;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001316;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001316;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1.50221;Right Hand Presence Physics;(0.12, 1.31, 0.29);(0.00, 3.20, 0.00)
1.50221;Left Hand Presence Physics;(-0.08, 1.31, 0.31);(0.00, 3.20, 0.00)
1.50221;Right Hand Presence Physics;(0.12, 1.31, 0.29);(0.00, 3.20, 0.00)
1.50221;Left Hand Presence Physics;(-0.08, 1.31, 0.31);(0.00, 3.20, 0.00)
1.50221;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.003854;Right Hand Presence Physics;(0.03, 1.31, 0.32);(0.00, 346.20, 0.00)
2.003854;Left Hand Presence Physics;(-0.17, 1.31, 0.27);(0.00, 346.20, 0.00)
2.003854;Right Hand Presence Physics;(0.03, 1.31, 0.32);(0.00, 346.20, 0.00)
2.003854;Left Hand Presence Physics;(-0.17, 1.31, 0.27);(0.00, 346.20, 0.00)
2.003854;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2.505435;Right Hand Presence Physics;(0.05, 1.31, 0.31);(0.00, 350.80, 0.00)
2.505435;Left Hand Presence Physics;(-0.15, 1.31, 0.28);(0.00, 350.80, 0.00)
2.505435;Right Hand Presence Physics;(0.05, 1.31, 0.31);(0.00, 350.80, 0.00)
2.505435;Left Hand Presence Physics;(-0.15, 1.31, 0.28);(0.00, 350.80, 0.00)
2.505435;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.006398;Right Hand Presence Physics;(0.07, 1.31, 0.31);(0.00, 354.40, 0.00)
3.006398;Left Hand Presence Physics;(-0.13, 1.31, 0.29);(0.00, 354.40, 0.00)
3.006398;Right Hand Presence Physics;(0.07, 1.31, 0.31);(0.00, 354.40, 0.00)
3.006398;Left Hand Presence Physics;(-0.13, 1.31, 0.29);(0.00, 354.40, 0.00)
3.006398;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3.507052;Right Hand Presence Physics;(0.07, 1.31, 0.31);(0.00, 354.40, 0.00)
3.507052;Left Hand Presence Physics;(-0.13, 1.31, 0.29);(0.00, 354.40, 0.00)
3.507052;Right Hand Presence Physics;(0.07, 1.31, 0.31);(0.00, 354.40, 0.00)
3.507052;Left Hand Presence Physics;(-0.13, 1.31, 0.29);(0.00, 354.40, 0.00)
3.507052;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
