Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,503424;Right Hand Presence Physics;(0.34, 1.07, -0.39);(10.04, 287.44, 52.81)
0,503424;Left Hand Presence Physics;(-0.02, 1.34, 0.00);(12.58, 38.18, 251.80)
0,503424;Right Hand Presence Physics;(0.34, 1.07, -0.39);(10.04, 287.44, 52.81)
0,503424;Left Hand Presence Physics;(-0.02, 1.34, 0.00);(12.58, 38.18, 251.80)
0,503424;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,503424;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,004458;Right Hand Presence Physics;(0.08, 1.40, -0.02);(38.17, 176.36, 347.70)
1,004458;Left Hand Presence Physics;(-0.02, 1.37, 0.01);(48.25, 27.69, 147.49)
1,004458;Right Hand Presence Physics;(0.08, 1.40, -0.02);(38.17, 176.36, 347.70)
1,004458;Left Hand Presence Physics;(-0.02, 1.37, 0.01);(48.25, 27.69, 147.49)
1,004458;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,004458;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,537609;Right Hand Presence Physics;(-0.05, 1.38, 0.00);(339.39, 6.94, 304.96)
1,537609;Left Hand Presence Physics;(0.04, 1.39, -0.01);(354.39, 3.55, 37.55)
1,537609;Right Hand Presence Physics;(-0.05, 1.38, 0.00);(339.39, 6.94, 304.96)
1,537609;Left Hand Presence Physics;(0.04, 1.39, -0.01);(354.39, 3.55, 37.55)
1,537609;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,537609;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,117297;Right Hand Presence Physics;(-0.05, 1.38, 0.00);(339.09, 10.41, 305.34)
2,117297;Left Hand Presence Physics;(0.04, 1.39, -0.01);(354.39, 6.98, 38.34)
2,117297;Right Hand Presence Physics;(-0.05, 1.38, 0.00);(339.09, 10.41, 305.34)
2,117297;Left Hand Presence Physics;(0.04, 1.39, -0.01);(354.39, 6.98, 38.34)
2,117297;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,117297;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,619606;Right Hand Presence Physics;(-0.05, 1.38, 0.00);(339.09, 10.41, 305.34)
2,619606;Left Hand Presence Physics;(0.04, 1.39, -0.01);(354.39, 6.98, 38.34)
2,619606;Right Hand Presence Physics;(-0.05, 1.38, 0.00);(339.09, 10.41, 305.34)
