Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5130235;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0,5130235;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0,5130235;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0,5130235;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0,5130235;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5130235;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,0143;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1,0143;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1,0143;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1,0143;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1,0143;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,0143;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,515463;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1,515463;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1,515463;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1,515463;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1,515463;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,515463;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,016802;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2,016802;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2,016802;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2,016802;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2,016802;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,016802;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,518056;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2,518056;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2,518056;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2,518056;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2,518056;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,518056;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,01971;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3,01971;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
3,01971;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3,01971;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
3,01971;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,01971;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,520512;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3,520512;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
3,520512;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
